dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_lp_solves,mean_labels_generated,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p4.2.a.txt,100,2,1,153.0,153.0,153.0,0.0,0.22732449998147786,0.22732449998147786,2.0,87472.0,100.0,0.0,0.0
chao,p4.2.b.txt,100,2,1,214.0,214.0,214.0,0.0,0.42137039999943227,0.42137039999943227,2.0,265232.0,100.0,0.0,0.0
chao,p4.2.c.txt,100,2,1,269.0,269.0,269.0,0.0,0.657276300014928,0.657276300014928,2.0,360360.0,100.0,0.0,0.0
chao,p4.2.d.txt,100,2,1,302.0,302.0,302.0,0.0,0.8974118999904022,0.8974118999904022,2.0,360360.0,100.0,0.0,0.0
chao,p4.2.e.txt,100,2,1,340.0,340.0,340.0,0.0,1.1412970999954268,1.1412970999954268,2.0,526592.0,100.0,0.0,0.0
chao,p4.2.f.txt,100,2,1,371.0,371.0,371.0,0.0,1.79014559998177,1.79014559998177,2.0,652080.0,100.0,0.0,0.0
chao,p4.2.g.txt,100,2,1,398.0,398.0,398.0,0.0,1.6013526000315323,1.6013526000315323,2.0,652080.0,100.0,0.0,0.0
chao,p4.2.h.txt,100,2,1,415.0,415.0,415.0,0.0,1.8041497999802232,1.8041497999802232,2.0,652080.0,100.0,0.0,0.0
chao,p4.2.i.txt,100,2,1,415.0,415.0,415.0,0.0,2.3692773000802845,2.3692773000802845,2.0,652080.0,100.0,0.0,0.0
chao,p4.2.j.txt,100,2,1,415.0,415.0,415.0,0.0,2.0406253000255674,2.0406253000255674,2.0,652080.0,100.0,0.0,0.0
chao,p4.2.k.txt,100,2,1,415.0,415.0,415.0,0.0,2.109841800061986,2.109841800061986,2.0,652080.0,100.0,0.0,0.0
chao,p4.2.l.txt,100,2,1,415.0,415.0,415.0,0.0,2.1370571999577805,2.1370571999577805,2.0,652080.0,100.0,0.0,0.0
chao,p4.2.m.txt,100,2,1,415.0,415.0,415.0,0.0,2.1203336999751627,2.1203336999751627,2.0,652080.0,100.0,0.0,0.0
chao,p4.2.n.txt,100,2,1,415.0,415.0,415.0,0.0,2.2185309999622405,2.2185309999622405,2.0,652080.0,100.0,0.0,0.0
chao,p4.2.o.txt,100,2,1,415.0,415.0,415.0,0.0,2.053682000027038,2.053682000027038,2.0,652080.0,100.0,0.0,0.0
chao,p4.2.p.txt,100,2,1,415.0,415.0,415.0,0.0,2.2245958000421524,2.2245958000421524,2.0,652080.0,100.0,0.0,0.0
chao,p4.2.q.txt,100,2,1,415.0,415.0,415.0,0.0,2.0545326999854296,2.0545326999854296,2.0,652080.0,100.0,0.0,0.0
