dataset,instance,num_nodes,mean_cpu_time_seconds
chao,p4.2.a.txt,100,0.22732449998147786
chao,p4.2.b.txt,100,0.42137039999943227
chao,p4.2.c.txt,100,0.657276300014928
chao,p4.2.d.txt,100,0.8974118999904022
chao,p4.2.e.txt,100,1.1412970999954268
chao,p4.2.f.txt,100,1.79014559998177
chao,p4.2.g.txt,100,1.6013526000315323
chao,p4.2.h.txt,100,1.8041497999802232
chao,p4.2.i.txt,100,2.3692773000802845
chao,p4.2.j.txt,100,2.0406253000255674
chao,p4.2.k.txt,100,2.109841800061986
chao,p4.2.l.txt,100,2.1370571999577805
chao,p4.2.m.txt,100,2.1203336999751627
chao,p4.2.n.txt,100,2.2185309999622405
chao,p4.2.o.txt,100,2.053682000027038
chao,p4.2.p.txt,100,2.2245958000421524
chao,p4.2.q.txt,100,2.0545326999854296
chao,p4.2.r.txt,100,2.030996200046502
chao,p4.2.s.txt,100,2.288225399912335
chao,p4.2.t.txt,100,2.0125108000356704
chao,p4.3.a.txt,100,0.06931569997686893
chao,p4.3.b.txt,100,0.0765374000184238
chao,p4.3.c.txt,100,0.1790872000856325
chao,p4.3.d.txt,100,1.1159990000305697
chao,p4.3.e.txt,100,0.467356999986805
chao,p4.3.f.txt,100,0.7376429000869393
chao,p4.3.g.txt,100,5.192056200001389
chao,p4.3.h.txt,100,1.6633871999802068
chao,p4.3.i.txt,100,2.0223106000339612
chao,p4.3.j.txt,100,2.392439000075683
chao,p4.3.k.txt,100,2.639983500004746
chao,p4.3.l.txt,100,2.5136465000687167
chao,p4.3.m.txt,100,2.7717108000069857
chao,p4.3.n.txt,100,2.884726700023748
chao,p4.3.o.txt,100,3.365507200011052
chao,p4.3.p.txt,100,3.3762347999727353
chao,p4.3.q.txt,100,3.4239156999392435
chao,p4.3.r.txt,100,3.553894400014542
chao,p4.3.s.txt,100,3.645152200013399
chao,p4.3.t.txt,100,3.63153280003462
chao,p4.4.a.txt,100,0.07392580003943294
chao,p4.4.b.txt,100,0.04768249997869134
chao,p4.4.c.txt,100,0.03887079993728548
chao,p4.4.d.txt,100,0.05895919993054122
chao,p4.4.e.txt,100,1.0820590000366792
chao,p4.4.f.txt,100,0.3996482000220567
chao,p4.4.g.txt,100,2.030070299981162
chao,p4.4.h.txt,100,0.6748438000213355
chao,p4.4.i.txt,100,4.468217699904926
chao,p4.4.j.txt,100,1.1653653000248596
chao,p4.4.k.txt,100,6.251668200013228
chao,p4.4.l.txt,100,1.6327831000089645
chao,p4.4.m.txt,100,1.9828297999920323
chao,p4.4.n.txt,100,2.2422504000132903
chao,p4.4.o.txt,100,2.4201558000640944
chao,p4.4.p.txt,100,2.8031352000543848
chao,p4.4.q.txt,100,2.904704899992794
chao,p4.4.r.txt,100,3.0238145999610424
chao,p4.4.s.txt,100,3.2035170999588445
chao,p4.4.t.txt,100,3.3081535999663174
chao,p5.2.a.txt,66,0.07578890002332628
chao,p5.2.b.txt,66,0.1265277999918908
chao,p5.2.c.txt,66,0.1464638999896124
chao,p5.2.d.txt,66,0.29634089989122003
chao,p5.2.e.txt,66,0.6089203000301495
chao,p5.2.f.txt,66,0.892984899925068
