dataset,instance,run_index,run_seed,num_nodes,team_size,max_route_distance,total_score,reference_best_score,gap_to_reference_best_percent,success_reference_hit,cpu_time_seconds,iterations,iterations_to_convergence,last_improvement_iteration,stagnation_iterations,accepted_worse_moves,restarts_performed,num_lp_solves,num_labels_generated,status
chao,p4.2.a.txt,0,7,100,2,25.0,153.0,153.0,0.0,1,0.22732449998147786,2,2,2,0,0,0,2,87472,ok
chao,p4.2.b.txt,0,1007,100,2,30.0,214.0,214.0,0.0,1,0.42137039999943227,2,2,2,0,0,0,2,265232,ok
chao,p4.2.c.txt,0,2007,100,2,35.0,269.0,269.0,0.0,1,0.657276300014928,2,2,2,0,0,0,2,360360,ok
chao,p4.2.d.txt,0,3007,100,2,40.0,302.0,302.0,0.0,1,0.8974118999904022,2,2,2,0,0,0,2,360360,ok
chao,p4.2.e.txt,0,4007,100,2,45.0,340.0,340.0,0.0,1,1.1412970999954268,2,2,2,0,0,0,2,526592,ok
chao,p4.2.f.txt,0,5007,100,2,50.0,371.0,371.0,0.0,1,1.79014559998177,2,2,2,0,0,0,2,652080,ok
chao,p4.2.g.txt,0,6007,100,2,55.0,398.0,398.0,0.0,1,1.6013526000315323,2,2,2,0,0,0,2,652080,ok
chao,p4.2.h.txt,0,7007,100,2,60.0,415.0,415.0,0.0,1,1.8041497999802232,2,2,2,0,0,0,2,652080,ok
chao,p4.2.i.txt,0,8007,100,2,65.0,415.0,415.0,0.0,1,2.3692773000802845,2,2,2,0,0,0,2,652080,ok
chao,p4.2.j.txt,0,9007,100,2,70.0,415.0,415.0,0.0,1,2.0406253000255674,2,2,2,0,0,0,2,652080,ok
chao,p4.2.k.txt,0,10007,100,2,75.0,415.0,415.0,0.0,1,2.109841800061986,2,2,2,0,0,0,2,652080,ok
chao,p4.2.l.txt,0,11007,100,2,80.0,415.0,415.0,0.0,1,2.1370571999577805,2,2,2,0,0,0,2,652080,ok
chao,p4.2.m.txt,0,12007,100,2,85.0,415.0,415.0,0.0,1,2.1203336999751627,2,2,2,0,0,0,2,652080,ok
chao,p4.2.n.txt,0,13007,100,2,90.0,415.0,415.0,0.0,1,2.2185309999622405,2,2,2,0,0,0,2,652080,ok
chao,p4.2.o.txt,0,14007,100,2,95.0,415.0,415.0,0.0,1,2.053682000027038,2,2,2,0,0,0,2,652080,ok
chao,p4.2.p.txt,0,15007,100,2,100.0,415.0,415.0,0.0,1,2.2245958000421524,2,2,2,0,0,0,2,652080,ok
chao,p4.2.q.txt,0,16007,100,2,105.0,415.0,415.0,0.0,1,2.0545326999854296,2,2,2,0,0,0,2,652080,ok
chao,p4.2.r.txt,0,17007,100,2,110.0,415.0,415.0,0.0,1,2.030996200046502,2,2,2,0,0,0,2,652080,ok
