dataset,instance,num_nodes_base,team_size_base,runs_base,reference_best_score_base,best_score_base,mean_score_base,std_score_base,mean_cpu_time_seconds_base,median_cpu_time_seconds_base,mean_lp_solves_base,mean_labels_generated_base,success_rate_percent_base,mean_gap_to_reference_best_percent_base,max_gap_to_reference_best_percent_base,num_nodes_improved,team_size_improved,runs_improved,reference_best_score_improved,best_score_improved,mean_score_improved,std_score_improved,mean_cpu_time_seconds_improved,median_cpu_time_seconds_improved,mean_lp_solves_improved,mean_labels_generated_improved,success_rate_percent_improved,mean_gap_to_reference_best_percent_improved,max_gap_to_reference_best_percent_improved,score_delta,cpu_delta,gap_delta
chao,p4.2.a.txt,100,2,1,153.0,153.0,153.0,0.0,0.2273244999814778,0.2273244999814778,2.0,87472.0,100.0,0.0,0.0,100,2,2,153.0,153.0,153.0,0.0,0.8335769500117749,0.8335769500117749,6.0,262416.0,100.0,0.0,0.0,0.0,0.606252450030297,0.0
chao,p4.2.b.txt,100,2,1,214.0,214.0,214.0,0.0,0.4213703999994322,0.4213703999994322,2.0,265232.0,100.0,0.0,0.0,100,2,2,214.0,214.0,214.0,0.0,1.603259000054095,1.603259000054095,6.0,795696.0,100.0,0.0,0.0,0.0,1.1818886000546627,0.0
chao,p4.2.c.txt,100,2,1,269.0,269.0,269.0,0.0,0.657276300014928,0.657276300014928,2.0,360360.0,100.0,0.0,0.0,100,2,2,269.0,269.0,269.0,0.0,3.480167150089983,3.480167150089983,6.0,1081080.0,100.0,0.0,0.0,0.0,2.822890850075055,0.0
chao,p4.2.d.txt,100,2,1,302.0,302.0,302.0,0.0,0.8974118999904022,0.8974118999904022,2.0,360360.0,100.0,0.0,0.0,100,2,2,302.0,302.0,302.0,0.0,4.792920249979943,4.792920249979943,6.0,1081080.0,100.0,0.0,0.0,0.0,3.895508349989541,0.0
chao,p4.2.e.txt,100,2,1,340.0,340.0,340.0,0.0,1.1412970999954268,1.1412970999954268,2.0,526592.0,100.0,0.0,0.0,100,2,2,340.0,340.0,340.0,0.0,6.4281002499046735,6.4281002499046735,6.0,1579776.0,100.0,0.0,0.0,0.0,5.286803149909247,0.0
chao,p4.2.f.txt,100,2,1,371.0,371.0,371.0,0.0,1.79014559998177,1.79014559998177,2.0,652080.0,100.0,0.0,0.0,100,2,2,371.0,371.0,371.0,0.0,8.370399849954993,8.370399849954993,6.0,1956240.0,100.0,0.0,0.0,0.0,6.580254249973223,0.0
chao,p4.2.g.txt,100,2,1,398.0,398.0,398.0,0.0,1.6013526000315323,1.6013526000315323,2.0,652080.0,100.0,0.0,0.0,100,2,2,398.0,398.0,398.0,0.0,8.755479099985678,8.755479099985678,6.0,1956240.0,100.0,0.0,0.0,0.0,7.154126499954145,0.0
chao,p4.2.h.txt,100,2,1,415.0,415.0,415.0,0.0,1.8041497999802232,1.8041497999802232,2.0,652080.0,100.0,0.0,0.0,100,2,2,415.0,415.0,415.0,0.0,10.013559650047682,10.013559650047682,6.0,1956240.0,100.0,0.0,0.0,0.0,8.209409850067459,0.0
chao,p4.2.i.txt,100,2,1,415.0,415.0,415.0,0.0,2.3692773000802845,2.3692773000802845,2.0,652080.0,100.0,0.0,0.0,100,2,2,415.0,415.0,415.0,0.0,14.760703500069212,14.760703500069212,6.0,1956240.0,100.0,0.0,0.0,0.0,12.391426199988928,0.0
chao,p4.2.j.txt,100,2,1,415.0,415.0,415.0,0.0,2.0406253000255674,2.0406253000255674,2.0,652080.0,100.0,0.0,0.0,100,2,2,415.0,415.0,415.0,0.0,12.118966599926353,12.118966599926353,6.0,1956240.0,100.0,0.0,0.0,0.0,10.078341299900785,0.0
chao,p4.2.k.txt,100,2,1,415.0,415.0,415.0,0.0,2.109841800061986,2.109841800061986,2.0,652080.0,100.0,0.0,0.0,100,2,2,415.0,415.0,415.0,0.0,10.864056050020736,10.864056050020736,6.0,1956240.0,100.0,0.0,0.0,0.0,8.75421424995875,0.0
chao,p4.2.l.txt,100,2,1,415.0,415.0,415.0,0.0,2.1370571999577805,2.1370571999577805,2.0,652080.0,100.0,0.0,0.0,100,2,2,415.0,415.0,415.0,0.0,18.33624614990549,18.33624614990549,6.0,1956240.0,100.0,0.0,0.0,0.0,16.19918894994771,0.0
chao,p4.2.m.txt,100,2,1,415.0,415.0,415.0,0.0,2.1203336999751627,2.1203336999751627,2.0,652080.0,100.0,0.0,0.0,100,2,2,415.0,415.0,415.0,0.0,16.918839699937962,16.918839699937962,6.0,1956240.0,100.0,0.0,0.0,0.0,14.7985059999628,0.0
chao,p4.2.n.txt,100,2,1,415.0,415.0,415.0,0.0,2.2185309999622405,2.2185309999622405,2.0,652080.0,100.0,0.0,0.0,100,2,2,415.0,415.0,415.0,0.0,14.932634899916591,14.932634899916591,6.0,1956240.0,100.0,0.0,0.0,0.0,12.71410389995435,0.0
chao,p4.2.o.txt,100,2,1,415.0,415.0,415.0,0.0,2.053682000027038,2.053682000027038,2.0,652080.0,100.0,0.0,0.0,100,2,2,415.0,415.0,415.0,0.0,14.173309800040442,14.173309800040442,6.0,1956240.0,100.0,0.0,0.0,0.0,12.119627800013404,0.0
chao,p4.2.p.txt,100,2,1,415.0,415.0,415.0,0.0,2.2245958000421524,2.2245958000421524,2.0,652080.0,100.0,0.0,0.0,100,2,2,415.0,415.0,415.0,0.0,13.904059550026432,13.904059550026432,6.0,1956240.0,100.0,0.0,0.0,0.0,11.67946374998428,0.0
chao,p4.2.q.txt,100,2,1,415.0,415.0,415.0,0.0,2.0545326999854296,2.0545326999854296,2.0,652080.0,100.0,0.0,0.0,100,2,2,415.0,415.0,415.0,0.0,14.47947350004688,14.47947350004688,6.0,1956240.0,100.0,0.0,0.0,0.0,12.424940800061451,0.0
chao,p4.2.r.txt,100,2,1,415.0,415.0,415.0,0.0,2.030996200046502,2.030996200046502,2.0,652080.0,100.0,0.0,0.0,100,2,2,415.0,415.0,415.0,0.0,12.387809399981052,12.387809399981052,6.0,1956240.0,100.0,0.0,0.0,0.0,10.35681319993455,0.0
chao,p4.2.s.txt,100,2,1,415.0,415.0,415.0,0.0,2.288225399912335,2.288225399912335,2.0,652080.0,100.0,0.0,0.0,100,2,2,415.0,415.0,415.0,0.0,11.584547800011933,11.584547800011933,6.0,1956240.0,100.0,0.0,0.0,0.0,9.296322400099598,0.0
chao,p4.2.t.txt,100,2,1,415.0,415.0,415.0,0.0,2.0125108000356704,2.0125108000356704,2.0,652080.0,100.0,0.0,0.0,100,2,2,415.0,415.0,415.0,0.0,9.78196064993972,9.78196064993972,6.0,1956240.0,100.0,0.0,0.0,0.0,7.769449849904049,0.0
chao,p4.3.a.txt,100,3,1,0.0,0.0,0.0,0.0,0.0693156999768689,0.0693156999768689,1.0,2156.0,100.0,0.0,0.0,100,3,2,0.0,0.0,0.0,0.0,0.1192171499715186,0.1192171499715186,3.0,6468.0,100.0,0.0,0.0,0.0,0.049901449994649696,0.0
chao,p4.3.b.txt,100,3,1,38.0,38.0,38.0,0.0,0.0765374000184238,0.0765374000184238,1.0,6424.0,100.0,0.0,0.0,100,3,2,38.0,38.0,38.0,0.0,0.138790400000289,0.138790400000289,3.0,19272.0,100.0,0.0,0.0,0.0,0.062252999981865204,0.0
chao,p4.3.c.txt,100,3,1,150.0,150.0,150.0,0.0,0.1790872000856325,0.1790872000856325,2.0,115808.0,100.0,0.0,0.0,100,3,2,150.0,150.0,150.0,0.0,0.5391615499393083,0.5391615499393083,6.0,347424.0,100.0,0.0,0.0,0.0,0.3600743498536758,0.0
chao,p4.3.d.txt,100,3,1,280.0,280.0,280.0,0.0,1.1159990000305695,1.1159990000305695,12.0,835912.0,100.0,0.0,0.0,100,3,2,280.0,280.0,280.0,0.0,5.358188100042753,5.358188100042753,36.0,2507736.0,100.0,0.0,0.0,0.0,4.242189100012183,0.0
chao,p4.3.e.txt,100,3,1,261.0,261.0,261.0,0.0,0.467356999986805,0.467356999986805,2.0,265232.0,100.0,0.0,0.0,100,3,2,261.0,261.0,261.0,0.0,1.9729074000497349,1.9729074000497349,6.0,795696.0,100.0,0.0,0.0,0.0,1.5055504000629298,0.0
chao,p4.3.f.txt,100,3,1,304.0,304.0,304.0,0.0,0.7376429000869393,0.7376429000869393,2.0,360360.0,100.0,0.0,0.0,100,3,2,304.0,304.0,304.0,0.0,3.283804600010626,3.283804600010626,6.0,1081080.0,100.0,0.0,0.0,0.0,2.5461616999236867,0.0
chao,p4.3.g.txt,100,3,1,342.0,342.0,342.0,0.0,5.192056200001389,5.192056200001389,12.0,2155142.0,100.0,0.0,0.0,100,3,2,342.0,342.0,342.0,0.0,17.69787114992505,17.69787114992505,36.0,6465426.0,100.0,0.0,0.0,0.0,12.50581494992366,0.0
chao,p4.3.h.txt,100,3,1,349.0,349.0,349.0,0.0,1.6633871999802068,1.6633871999802068,2.0,360360.0,100.0,0.0,0.0,100,3,2,349.0,349.0,349.0,0.0,5.053389300010167,5.053389300010167,6.0,1081080.0,100.0,0.0,0.0,0.0,3.3900021000299603,0.0
chao,p4.3.i.txt,100,3,1,378.0,378.0,378.0,0.0,2.022310600033961,2.022310600033961,2.0,468160.0,100.0,0.0,0.0,100,3,2,378.0,378.0,378.0,0.0,6.099643000052311,6.099643000052311,6.0,1404480.0,100.0,0.0,0.0,0.0,4.077332400018351,0.0
chao,p4.3.j.txt,100,3,1,403.0,403.0,403.0,0.0,2.392439000075683,2.392439000075683,2.0,652080.0,100.0,0.0,0.0,100,3,2,403.0,403.0,403.0,0.0,7.099555899971165,7.099555899971165,6.0,1956240.0,100.0,0.0,0.0,0.0,4.707116899895482,0.0
chao,p4.3.k.txt,100,3,1,419.0,419.0,419.0,0.0,2.639983500004746,2.639983500004746,2.0,652080.0,100.0,0.0,0.0,100,3,2,419.0,419.0,419.0,0.0,7.807127600070089,7.807127600070089,6.0,1956240.0,100.0,0.0,0.0,0.0,5.167144100065343,0.0
chao,p4.3.l.txt,100,3,1,443.0,443.0,443.0,0.0,2.5136465000687167,2.5136465000687167,2.0,652080.0,100.0,0.0,0.0,100,3,2,443.0,443.0,443.0,0.0,8.576095399970654,8.576095399970654,6.0,1956240.0,100.0,0.0,0.0,0.0,6.062448899901938,0.0
chao,p4.3.m.txt,100,3,1,453.0,453.0,453.0,0.0,2.7717108000069857,2.7717108000069857,2.0,652080.0,100.0,0.0,0.0,100,3,2,453.0,453.0,453.0,0.0,8.927101150038652,8.927101150038652,6.0,1956240.0,100.0,0.0,0.0,0.0,6.1553903500316665,0.0
chao,p4.3.n.txt,100,3,1,463.0,463.0,463.0,0.0,2.884726700023748,2.884726700023748,2.0,652080.0,100.0,0.0,0.0,100,3,2,463.0,463.0,463.0,0.0,9.7106293499819,9.7106293499819,6.0,1956240.0,100.0,0.0,0.0,0.0,6.825902649958152,0.0
chao,p4.3.o.txt,100,3,1,463.0,463.0,463.0,0.0,3.365507200011052,3.365507200011052,2.0,652080.0,100.0,0.0,0.0,100,3,2,463.0,463.0,463.0,0.0,9.306060299975798,9.306060299975798,6.0,1956240.0,100.0,0.0,0.0,0.0,5.940553099964745,0.0
chao,p4.3.p.txt,100,3,1,463.0,463.0,463.0,0.0,3.376234799972736,3.376234799972736,2.0,652080.0,100.0,0.0,0.0,100,3,2,463.0,463.0,463.0,0.0,9.55280440003844,9.55280440003844,6.0,1956240.0,100.0,0.0,0.0,0.0,6.176569600065704,0.0
chao,p4.3.q.txt,100,3,1,463.0,463.0,463.0,0.0,3.4239156999392435,3.4239156999392435,2.0,652080.0,100.0,0.0,0.0,100,3,2,463.0,463.0,463.0,0.0,10.163046000059694,10.163046000059694,6.0,1956240.0,100.0,0.0,0.0,0.0,6.739130300120451,0.0
chao,p4.3.r.txt,100,3,1,463.0,463.0,463.0,0.0,3.553894400014542,3.553894400014542,2.0,652080.0,100.0,0.0,0.0,100,3,2,463.0,463.0,463.0,0.0,10.009217150043696,10.009217150043696,6.0,1956240.0,100.0,0.0,0.0,0.0,6.455322750029154,0.0
