dataset,metric,base,improved,delta,delta_percent
chao,mean_cpu_time_seconds,1.8383514958336795,6.420401611250175,4.582050115416496,249.24777039651866
chao,mean_gap_to_reference_best_percent,0.0,0.0471356544362682,0.0471356544362682,nan
chao,success_rate_percent,100.0,98.125,-1.875,-1.875
chao,score_mean,440.69166666666666,442.85833333333335,2.1666666666666856,0.4916513813512892
chao,mean_lp_solves,4.1125,12.414583333333333,8.302083333333332,201.8743667679838
chao,mean_labels_generated,513314.0291666667,1541651.9541666666,1028337.9249999999,200.3331034356186
dang,mean_cpu_time_seconds,7.076187808543626,36.42605834207412,29.349870533530495,414.7695246032637
dang,mean_gap_to_reference_best_percent,0.0,0.0,0.0,nan
dang,success_rate_percent,100.0,100.0,0.0,0.0
dang,score_mean,791.5487804878048,791.5487804878048,0.0,0.0
dang,mean_lp_solves,4.182926829268292,12.548780487804878,8.365853658536587,200.00000000000006
dang,mean_labels_generated,3043809.7317073173,9131452.134146342,6087642.402439024,200.00075362872226
vansteenwegen,mean_cpu_time_seconds,6.844207476120817,21.447205558957,14.60299808283618,213.36287851859387
vansteenwegen,mean_gap_to_reference_best_percent,0.0,0.0,0.0,nan
vansteenwegen,success_rate_percent,100.0,100.0,0.0,0.0
vansteenwegen,score_mean,818.6865671641791,818.6865671641791,0.0,0.0
vansteenwegen,mean_lp_solves,4.6716417910447765,14.014925373134329,9.343283582089551,199.99999999999994
vansteenwegen,mean_labels_generated,3127494.7164179105,9382512.223880596,6255017.507462686,200.00089767144024
