dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_lp_solves,mean_labels_generated,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p4.2.a.txt,100,2,2,153.0,153.0,153.0,0.0,0.8335769500117749,0.8335769500117749,6.0,262416.0,100.0,0.0,0.0
chao,p4.2.b.txt,100,2,2,214.0,214.0,214.0,0.0,1.603259000054095,1.603259000054095,6.0,795696.0,100.0,0.0,0.0
chao,p4.2.c.txt,100,2,2,269.0,269.0,269.0,0.0,3.480167150089983,3.480167150089983,6.0,1081080.0,100.0,0.0,0.0
chao,p4.2.d.txt,100,2,2,302.0,302.0,302.0,0.0,4.792920249979943,4.792920249979943,6.0,1081080.0,100.0,0.0,0.0
chao,p4.2.e.txt,100,2,2,340.0,340.0,340.0,0.0,6.4281002499046735,6.4281002499046735,6.0,1579776.0,100.0,0.0,0.0
chao,p4.2.f.txt,100,2,2,371.0,371.0,371.0,0.0,8.370399849954993,8.370399849954993,6.0,1956240.0,100.0,0.0,0.0
chao,p4.2.g.txt,100,2,2,398.0,398.0,398.0,0.0,8.755479099985678,8.755479099985678,6.0,1956240.0,100.0,0.0,0.0
chao,p4.2.h.txt,100,2,2,415.0,415.0,415.0,0.0,10.013559650047682,10.013559650047682,6.0,1956240.0,100.0,0.0,0.0
chao,p4.2.i.txt,100,2,2,415.0,415.0,415.0,0.0,14.760703500069212,14.760703500069212,6.0,1956240.0,100.0,0.0,0.0
chao,p4.2.j.txt,100,2,2,415.0,415.0,415.0,0.0,12.118966599926353,12.118966599926353,6.0,1956240.0,100.0,0.0,0.0
chao,p4.2.k.txt,100,2,2,415.0,415.0,415.0,0.0,10.864056050020736,10.864056050020736,6.0,1956240.0,100.0,0.0,0.0
chao,p4.2.l.txt,100,2,2,415.0,415.0,415.0,0.0,18.33624614990549,18.33624614990549,6.0,1956240.0,100.0,0.0,0.0
chao,p4.2.m.txt,100,2,2,415.0,415.0,415.0,0.0,16.918839699937962,16.918839699937962,6.0,1956240.0,100.0,0.0,0.0
chao,p4.2.n.txt,100,2,2,415.0,415.0,415.0,0.0,14.932634899916593,14.932634899916593,6.0,1956240.0,100.0,0.0,0.0
chao,p4.2.o.txt,100,2,2,415.0,415.0,415.0,0.0,14.173309800040442,14.173309800040442,6.0,1956240.0,100.0,0.0,0.0
chao,p4.2.p.txt,100,2,2,415.0,415.0,415.0,0.0,13.904059550026432,13.904059550026432,6.0,1956240.0,100.0,0.0,0.0
chao,p4.2.q.txt,100,2,2,415.0,415.0,415.0,0.0,14.479473500046879,14.479473500046879,6.0,1956240.0,100.0,0.0,0.0
chao,p4.2.r.txt,100,2,2,415.0,415.0,415.0,0.0,12.387809399981052,12.387809399981052,6.0,1956240.0,100.0,0.0,0.0
chao,p4.2.s.txt,100,2,2,415.0,415.0,415.0,0.0,11.584547800011933,11.584547800011933,6.0,1956240.0,100.0,0.0,0.0
chao,p4.2.t.txt,100,2,2,415.0,415.0,415.0,0.0,9.78196064993972,9.78196064993972,6.0,1956240.0,100.0,0.0,0.0
chao,p4.3.a.txt,100,3,2,0.0,0.0,0.0,0.0,0.11921714997151867,0.11921714997151867,3.0,6468.0,100.0,0.0,0.0
chao,p4.3.b.txt,100,3,2,38.0,38.0,38.0,0.0,0.13879040000028908,0.13879040000028908,3.0,19272.0,100.0,0.0,0.0
chao,p4.3.c.txt,100,3,2,150.0,150.0,150.0,0.0,0.5391615499393083,0.5391615499393083,6.0,347424.0,100.0,0.0,0.0
chao,p4.3.d.txt,100,3,2,280.0,280.0,280.0,0.0,5.358188100042753,5.358188100042753,36.0,2507736.0,100.0,0.0,0.0
chao,p4.3.e.txt,100,3,2,261.0,261.0,261.0,0.0,1.9729074000497349,1.9729074000497349,6.0,795696.0,100.0,0.0,0.0
chao,p4.3.f.txt,100,3,2,304.0,304.0,304.0,0.0,3.283804600010626,3.283804600010626,6.0,1081080.0,100.0,0.0,0.0
chao,p4.3.g.txt,100,3,2,342.0,342.0,342.0,0.0,17.69787114992505,17.69787114992505,36.0,6465426.0,100.0,0.0,0.0
chao,p4.3.h.txt,100,3,2,349.0,349.0,349.0,0.0,5.053389300010167,5.053389300010167,6.0,1081080.0,100.0,0.0,0.0
chao,p4.3.i.txt,100,3,2,378.0,378.0,378.0,0.0,6.0996430000523105,6.0996430000523105,6.0,1404480.0,100.0,0.0,0.0
chao,p4.3.j.txt,100,3,2,403.0,403.0,403.0,0.0,7.099555899971165,7.099555899971165,6.0,1956240.0,100.0,0.0,0.0
chao,p4.3.k.txt,100,3,2,419.0,419.0,419.0,0.0,7.807127600070089,7.807127600070089,6.0,1956240.0,100.0,0.0,0.0
chao,p4.3.l.txt,100,3,2,443.0,443.0,443.0,0.0,8.576095399970654,8.576095399970654,6.0,1956240.0,100.0,0.0,0.0
chao,p4.3.m.txt,100,3,2,453.0,453.0,453.0,0.0,8.927101150038652,8.927101150038652,6.0,1956240.0,100.0,0.0,0.0
chao,p4.3.n.txt,100,3,2,463.0,463.0,463.0,0.0,9.7106293499819,9.7106293499819,6.0,1956240.0,100.0,0.0,0.0
chao,p4.3.o.txt,100,3,2,463.0,463.0,463.0,0.0,9.306060299975798,9.306060299975798,6.0,1956240.0,100.0,0.0,0.0
chao,p4.3.p.txt,100,3,2,463.0,463.0,463.0,0.0,9.55280440003844,9.55280440003844,6.0,1956240.0,100.0,0.0,0.0
chao,p4.3.q.txt,100,3,2,463.0,463.0,463.0,0.0,10.163046000059694,10.163046000059694,6.0,1956240.0,100.0,0.0,0.0
chao,p4.3.r.txt,100,3,2,463.0,463.0,463.0,0.0,10.009217150043696,10.009217150043696,6.0,1956240.0,100.0,0.0,0.0
chao,p4.3.s.txt,100,3,2,463.0,463.0,463.0,0.0,9.839633599971421,9.839633599971421,6.0,1956240.0,100.0,0.0,0.0
chao,p4.3.t.txt,100,3,2,463.0,463.0,463.0,0.0,8.18143155000871,8.18143155000871,6.0,1956240.0,100.0,0.0,0.0
chao,p4.4.a.txt,100,4,2,0.0,0.0,0.0,0.0,0.11953200009884313,0.11953200009884313,3.0,6468.0,100.0,0.0,0.0
chao,p4.4.b.txt,100,4,2,0.0,0.0,0.0,0.0,0.11557234998326749,0.11557234998326749,3.0,6468.0,100.0,0.0,0.0
chao,p4.4.c.txt,100,4,2,0.0,0.0,0.0,0.0,0.1279508500592783,0.1279508500592783,3.0,6468.0,100.0,0.0,0.0
chao,p4.4.d.txt,100,4,2,38.0,38.0,38.0,0.0,0.13319274998502806,0.13319274998502806,3.0,19272.0,100.0,0.0,0.0
chao,p4.4.e.txt,100,4,2,181.0,181.0,181.0,0.0,1.8963261999888346,1.8963261999888346,36.0,1090650.0,100.0,0.0,0.0
chao,p4.4.f.txt,100,4,2,214.0,214.0,214.0,0.0,0.6135731499525718,0.6135731499525718,6.0,262416.0,100.0,0.0,0.0
chao,p4.4.g.txt,100,4,2,340.0,340.0,340.0,0.0,3.8862640000879765,3.8862640000879765,36.0,2615250.0,100.0,0.0,0.0
chao,p4.4.h.txt,100,4,2,305.0,305.0,305.0,0.0,1.2466240499634296,1.2466240499634296,6.0,795696.0,100.0,0.0,0.0
chao,p4.4.i.txt,100,4,2,467.0,467.0,467.0,0.0,6.997099199972581,6.997099199972581,36.0,4492752.0,100.0,0.0,0.0
chao,p4.4.j.txt,100,4,2,361.0,361.0,361.0,0.0,2.140233799989801,2.140233799989801,6.0,1081080.0,100.0,0.0,0.0
chao,p4.4.k.txt,100,4,2,386.0,386.0,386.0,0.0,10.862273850070778,10.862273850070778,36.0,6354348.0,100.0,0.0,0.0
chao,p4.4.l.txt,100,4,2,394.0,394.0,394.0,0.0,3.0030111000523902,3.0030111000523902,6.0,1081080.0,100.0,0.0,0.0
chao,p4.4.m.txt,100,4,2,427.0,427.0,427.0,0.0,3.655764000082854,3.655764000082854,6.0,1956240.0,100.0,0.0,0.0
chao,p4.4.n.txt,100,4,2,435.0,435.0,435.0,0.0,4.029687450034544,4.029687450034544,6.0,1579776.0,100.0,0.0,0.0
chao,p4.4.o.txt,100,4,2,451.0,451.0,451.0,0.0,4.526684349984862,4.526684349984862,6.0,1956240.0,100.0,0.0,0.0
chao,p4.4.p.txt,100,4,2,467.0,467.0,467.0,0.0,4.787444499961566,4.787444499961566,6.0,1956240.0,100.0,0.0,0.0
chao,p4.4.q.txt,100,4,2,487.0,487.0,487.0,0.0,6.285434250079561,6.285434250079561,6.0,1956240.0,100.0,0.0,0.0
chao,p4.4.r.txt,100,4,2,494.0,494.0,494.0,0.0,8.7447282000212,8.7447282000212,6.0,1956240.0,100.0,0.0,0.0
chao,p4.4.s.txt,100,4,2,506.0,506.0,506.0,0.0,9.42741079989355,9.42741079989355,6.0,1956240.0,100.0,0.0,0.0
chao,p4.4.t.txt,100,4,2,511.0,511.0,511.0,0.0,9.851034700113814,9.851034700113814,6.0,1956240.0,100.0,0.0,0.0
chao,p5.2.a.txt,66,2,2,0.0,0.0,0.0,0.0,0.16782769991550595,0.16782769991550595,3.0,4224.0,100.0,0.0,0.0
chao,p5.2.b.txt,66,2,2,20.0,20.0,20.0,0.0,0.2708068499341607,0.2708068499341607,3.0,24816.0,100.0,0.0,0.0
chao,p5.2.c.txt,66,2,2,40.0,40.0,40.0,0.0,0.5237316500279121,0.5237316500279121,3.0,24816.0,100.0,0.0,0.0
chao,p5.2.d.txt,66,2,2,80.0,80.0,80.0,0.0,0.9560517999925651,0.9560517999925651,6.0,121440.0,100.0,0.0,0.0
chao,p5.2.e.txt,66,2,2,170.0,170.0,170.0,0.0,1.535302449890878,1.535302449890878,6.0,168168.0,100.0,0.0,0.0
chao,p5.2.f.txt,66,2,2,190.0,190.0,190.0,0.0,2.6568053999799304,2.6568053999799304,6.0,168168.0,100.0,0.0,0.0
chao,p5.2.g.txt,66,2,2,320.0,320.0,320.0,0.0,3.665278750064317,3.665278750064317,6.0,348480.0,100.0,0.0,0.0
chao,p5.2.h.txt,66,2,2,390.0,390.0,390.0,0.0,4.515022499894258,4.515022499894258,6.0,421080.0,100.0,0.0,0.0
chao,p5.2.i.txt,66,2,2,435.0,435.0,435.0,0.0,7.338198249984998,7.338198249984998,9.0,616440.0,100.0,0.0,0.0
chao,p5.2.j.txt,66,2,2,560.0,560.0,560.0,0.0,6.061038000101689,6.061038000101689,6.0,672672.0,100.0,0.0,0.0
chao,p5.2.k.txt,66,2,2,620.0,620.0,620.0,0.0,6.2793078000540845,6.2793078000540845,6.0,672672.0,100.0,0.0,0.0
chao,p5.2.l.txt,66,2,2,700.0,700.0,700.0,0.0,6.713643950002734,6.713643950002734,6.5,938080.0,100.0,0.0,0.0
chao,p5.2.m.txt,66,2,2,810.0,810.0,810.0,0.0,6.59630505007226,6.59630505007226,6.0,969408.0,100.0,0.0,0.0
chao,p5.2.n.txt,66,2,2,830.0,830.0,830.0,0.0,9.120108850009274,9.120108850009274,9.0,1650556.5,100.0,0.0,0.0
chao,p5.2.o.txt,66,2,2,940.0,940.0,940.0,0.0,5.994342599995434,5.994342599995434,6.0,1188792.0,100.0,0.0,0.0
chao,p5.2.p.txt,66,2,2,1000.0,1000.0,1000.0,0.0,4.987969150010031,4.987969150010031,6.0,1188792.0,100.0,0.0,0.0
chao,p5.2.q.txt,66,2,2,1060.0,1060.0,1060.0,0.0,4.6934391001123,4.6934391001123,6.0,1188792.0,100.0,0.0,0.0
chao,p5.2.r.txt,66,2,2,1060.0,1060.0,1060.0,0.0,4.916711500030942,4.916711500030942,6.0,1188792.0,100.0,0.0,0.0
chao,p5.2.s.txt,66,2,2,1060.0,1060.0,1060.0,0.0,4.885278849978931,4.885278849978931,6.0,1188792.0,100.0,0.0,0.0
chao,p5.2.t.txt,66,2,2,1060.0,1060.0,1060.0,0.0,5.089315600052942,5.089315600052942,6.0,1188792.0,100.0,0.0,0.0
chao,p5.2.u.txt,66,2,2,1060.0,1060.0,1060.0,0.0,5.008072199940216,5.008072199940216,6.0,1188792.0,100.0,0.0,0.0
chao,p5.2.v.txt,66,2,2,1060.0,1060.0,1060.0,0.0,5.156616699940059,5.156616699940059,6.5,1287858.0,100.0,0.0,0.0
chao,p5.2.w.txt,66,2,2,1060.0,1060.0,1060.0,0.0,5.268211550021078,5.268211550021078,6.5,1287858.0,100.0,0.0,0.0
chao,p5.2.x.txt,66,2,2,1060.0,1060.0,1060.0,0.0,5.1963691499549896,5.1963691499549896,6.0,1188792.0,100.0,0.0,0.0
chao,p5.2.y.txt,66,2,2,1060.0,1060.0,1060.0,0.0,5.056204549968243,5.056204549968243,6.0,1188792.0,100.0,0.0,0.0
chao,p5.2.z.txt,66,2,2,1060.0,1060.0,1060.0,0.0,4.947864049987402,4.947864049987402,6.0,1188792.0,100.0,0.0,0.0
chao,p5.3.a.txt,66,3,2,0.0,0.0,0.0,0.0,0.11043860000791028,0.11043860000791028,3.0,4224.0,100.0,0.0,0.0
chao,p5.3.b.txt,66,3,2,15.0,15.0,15.0,0.0,0.12540734995855018,0.12540734995855018,3.0,12540.0,100.0,0.0,0.0
chao,p5.3.c.txt,66,3,2,20.0,20.0,20.0,0.0,0.14438815001631156,0.14438815001631156,3.0,3960.0,100.0,0.0,0.0
chao,p5.3.d.txt,66,3,2,60.0,60.0,60.0,0.0,0.23996225005248562,0.23996225005248562,3.0,24816.0,100.0,0.0,0.0
chao,p5.3.e.txt,66,3,2,85.0,85.0,85.0,0.0,0.5398895500111394,0.5398895500111394,6.0,81840.0,100.0,0.0,0.0
chao,p5.3.f.txt,66,3,2,110.0,110.0,110.0,0.0,1.4980542499688454,1.4980542499688454,15.5,218783.5,100.0,0.0,0.0
chao,p5.3.g.txt,66,3,2,160.0,160.0,160.0,0.0,1.3328554501058534,1.3328554501058534,9.0,170175.0,100.0,0.0,0.0
chao,p5.3.h.txt,66,3,2,260.0,260.0,260.0,0.0,5.495329800003674,5.495329800003674,36.0,805810.5,100.0,0.0,0.0
chao,p5.3.i.txt,66,3,2,255.0,255.0,255.0,0.0,2.740191299992148,2.740191299992148,12.0,219384.0,100.0,0.0,0.0
chao,p5.3.j.txt,66,3,2,380.0,380.0,380.0,0.0,5.8521154500194825,5.8521154500194825,20.5,615704.5,100.0,0.0,0.0
chao,p5.3.k.txt,66,3,2,465.0,465.0,465.0,0.0,9.941757549881004,9.941757549881004,30.0,1183532.0,100.0,0.0,0.0
chao,p5.3.l.txt,66,3,2,575.0,575.0,575.0,0.0,12.656681949971244,12.656681949971244,32.0,1550448.0,100.0,0.0,0.0
chao,p5.3.m.txt,66,3,2,650.0,650.0,650.0,0.0,15.370464099978562,15.370464099978562,34.0,1961882.5,100.0,0.0,0.0
chao,p5.3.n.txt,66,3,2,755.0,755.0,755.0,0.0,13.589405949926004,13.589405949926004,27.5,1929506.0,100.0,0.0,0.0
chao,p5.3.o.txt,66,3,2,830.0,830.0,830.0,0.0,17.12112134997733,17.12112134997733,32.0,2589981.5,100.0,0.0,0.0
chao,p5.3.p.txt,66,3,2,855.0,855.0,852.5,3.5355339059327378,18.03404275001958,18.03404275001958,33.5,3172646.0,50.0,0.29239766081871343,0.5847953216374269
chao,p5.3.q.txt,66,3,2,1025.0,1025.0,1025.0,0.0,17.25907485000789,17.25907485000789,31.0,3530678.5,100.0,0.0,0.0
chao,p5.3.r.txt,66,3,2,1050.0,1050.0,1050.0,0.0,17.151142900052946,17.151142900052946,30.5,3664098.0,100.0,0.0,0.0
chao,p5.3.s.txt,66,3,2,1145.0,1145.0,1145.0,0.0,17.690537499962375,17.690537499962375,30.5,3929153.5,100.0,0.0,0.0
chao,p5.3.t.txt,66,3,2,1220.0,1220.0,1220.0,0.0,20.418896450079046,20.418896450079046,35.0,4980054.0,100.0,0.0,0.0
chao,p5.3.u.txt,66,3,2,1300.0,1300.0,1300.0,0.0,16.327895150054246,16.327895150054246,28.0,4779415.0,100.0,0.0,0.0
chao,p5.3.v.txt,66,3,2,1400.0,1400.0,1400.0,0.0,17.4447531500482,17.4447531500482,29.5,5183930.0,100.0,0.0,0.0
chao,p5.3.w.txt,66,3,2,1420.0,1420.0,1415.0,7.0710678118654755,19.57340125000337,19.57340125000337,33.5,6347844.5,50.0,0.35211267605633806,0.7042253521126761
chao,p5.3.x.txt,66,3,2,1500.0,1500.0,1500.0,0.0,19.88351319998037,19.88351319998037,32.0,6103218.0,100.0,0.0,0.0
chao,p5.3.y.txt,66,3,2,1570.0,1570.0,1570.0,0.0,20.930785249976907,20.930785249976907,34.5,6473497.5,100.0,0.0,0.0
chao,p5.3.z.txt,66,3,2,1570.0,1570.0,1570.0,0.0,20.924456299981102,20.924456299981102,36.0,6767838.0,100.0,0.0,0.0
chao,p5.4.a.txt,66,4,2,0.0,0.0,0.0,0.0,0.10837395000271499,0.10837395000271499,3.0,4224.0,100.0,0.0,0.0
chao,p5.4.b.txt,66,4,2,0.0,0.0,0.0,0.0,0.11154675000580028,0.11154675000580028,3.0,4224.0,100.0,0.0,0.0
chao,p5.4.c.txt,66,4,2,20.0,20.0,20.0,0.0,0.12786979996599257,0.12786979996599257,3.0,12540.0,100.0,0.0,0.0
chao,p5.4.d.txt,66,4,2,20.0,20.0,20.0,0.0,0.13673244987148792,0.13673244987148792,3.0,3960.0,100.0,0.0,0.0
chao,p5.4.e.txt,66,4,2,20.0,20.0,20.0,0.0,0.2032282499712892,0.2032282499712892,3.0,3960.0,100.0,0.0,0.0
chao,p5.4.f.txt,66,4,2,80.0,80.0,80.0,0.0,0.3209444500389509,0.3209444500389509,3.0,24816.0,100.0,0.0,0.0
chao,p5.4.g.txt,66,4,2,130.0,130.0,130.0,0.0,0.8012284500873648,0.8012284500873648,9.0,122760.0,100.0,0.0,0.0
chao,p5.4.h.txt,66,4,2,140.0,140.0,140.0,0.0,1.4901886499137618,1.4901886499137618,15.0,211512.0,100.0,0.0,0.0
chao,p5.4.i.txt,66,4,2,190.0,190.0,190.0,0.0,1.2712483999785036,1.2712483999785036,9.0,113770.0,100.0,0.0,0.0
chao,p5.4.j.txt,66,4,2,270.0,270.0,270.0,0.0,2.2315637498977594,2.2315637498977594,15.0,305094.5,100.0,0.0,0.0
chao,p5.4.k.txt,66,4,2,340.0,340.0,340.0,0.0,5.232623849995434,5.232623849995434,33.0,766822.0,100.0,0.0,0.0
chao,p5.4.l.txt,66,4,2,320.0,320.0,320.0,0.0,2.683513300085906,2.683513300085906,12.0,219384.0,100.0,0.0,0.0
chao,p5.4.m.txt,66,4,2,405.0,405.0,397.5,10.606601717798213,7.131393549963832,7.131393549963832,27.0,729502.5,50.0,1.8518518518518516,3.7037037037037033
chao,p5.4.n.txt,66,4,2,500.0,500.0,500.0,0.0,10.61578825005563,10.61578825005563,36.0,1013721.5,100.0,0.0,0.0
chao,p5.4.o.txt,66,4,2,615.0,615.0,615.0,0.0,12.143272750079632,12.143272750079632,33.0,1308384.0,100.0,0.0,0.0
chao,p5.4.p.txt,66,4,2,760.0,760.0,760.0,0.0,13.849094549950678,13.849094549950678,36.0,1792029.5,100.0,0.0,0.0
chao,p5.4.q.txt,66,4,2,860.0,860.0,860.0,0.0,14.512487749976572,14.512487749976572,34.5,1905639.5,100.0,0.0,0.0
chao,p5.4.r.txt,66,4,2,880.0,880.0,880.0,0.0,15.437049499945715,15.437049499945715,34.0,2125993.5,100.0,0.0,0.0
chao,p5.4.s.txt,66,4,2,1000.0,1000.0,1000.0,0.0,17.414882949960884,17.414882949960884,36.0,2695766.0,100.0,0.0,0.0
