dataset,instance,score,gap_to_reference_best_percent
chao,p4.2.a.txt,153.0,0.0
chao,p4.2.a.txt,153.0,0.0
chao,p4.2.b.txt,214.0,0.0
chao,p4.2.b.txt,214.0,0.0
chao,p4.2.c.txt,269.0,0.0
chao,p4.2.c.txt,269.0,0.0
chao,p4.2.d.txt,302.0,0.0
chao,p4.2.d.txt,302.0,0.0
chao,p4.2.e.txt,340.0,0.0
chao,p4.2.e.txt,340.0,0.0
chao,p4.2.f.txt,371.0,0.0
chao,p4.2.f.txt,371.0,0.0
chao,p4.2.g.txt,398.0,0.0
chao,p4.2.g.txt,398.0,0.0
chao,p4.2.h.txt,415.0,0.0
chao,p4.2.h.txt,415.0,0.0
chao,p4.2.i.txt,415.0,0.0
chao,p4.2.i.txt,415.0,0.0
chao,p4.2.j.txt,415.0,0.0
chao,p4.2.j.txt,415.0,0.0
chao,p4.2.k.txt,415.0,0.0
chao,p4.2.k.txt,415.0,0.0
chao,p4.2.l.txt,415.0,0.0
chao,p4.2.l.txt,415.0,0.0
chao,p4.2.m.txt,415.0,0.0
chao,p4.2.m.txt,415.0,0.0
chao,p4.2.n.txt,415.0,0.0
chao,p4.2.n.txt,415.0,0.0
chao,p4.2.o.txt,415.0,0.0
chao,p4.2.o.txt,415.0,0.0
chao,p4.2.p.txt,415.0,0.0
chao,p4.2.p.txt,415.0,0.0
chao,p4.2.q.txt,415.0,0.0
chao,p4.2.q.txt,415.0,0.0
chao,p4.2.r.txt,415.0,0.0
chao,p4.2.r.txt,415.0,0.0
chao,p4.2.s.txt,415.0,0.0
chao,p4.2.s.txt,415.0,0.0
chao,p4.2.t.txt,415.0,0.0
chao,p4.2.t.txt,415.0,0.0
chao,p4.3.a.txt,0.0,0.0
chao,p4.3.a.txt,0.0,0.0
chao,p4.3.b.txt,38.0,0.0
chao,p4.3.b.txt,38.0,0.0
chao,p4.3.c.txt,150.0,0.0
chao,p4.3.c.txt,150.0,0.0
chao,p4.3.d.txt,280.0,0.0
chao,p4.3.d.txt,280.0,0.0
chao,p4.3.e.txt,261.0,0.0
chao,p4.3.e.txt,261.0,0.0
chao,p4.3.f.txt,304.0,0.0
chao,p4.3.f.txt,304.0,0.0
chao,p4.3.g.txt,342.0,0.0
