dataset,instance,run_index,run_seed,num_nodes,team_size,max_route_distance,total_score,reference_best_score,gap_to_reference_best_percent,success_reference_hit,cpu_time_seconds,iterations,iterations_to_convergence,last_improvement_iteration,stagnation_iterations,accepted_worse_moves,restarts_performed,num_lp_solves,num_labels_generated,status
chao,p4.2.a.txt,0,7,100,2,25.0,153.0,153.0,0.0,1,0.820176100009121,6,6,6,0,0,3,6,262416,ok
chao,p4.2.a.txt,1,8,100,2,25.0,153.0,153.0,0.0,1,0.8469778000144288,6,6,6,0,0,3,6,262416,ok
chao,p4.2.b.txt,0,1007,100,2,30.0,214.0,214.0,0.0,1,1.509694000124,6,6,6,0,0,3,6,795696,ok
chao,p4.2.b.txt,1,1008,100,2,30.0,214.0,214.0,0.0,1,1.6968239999841899,6,6,6,0,0,3,6,795696,ok
chao,p4.2.c.txt,0,2007,100,2,35.0,269.0,269.0,0.0,1,3.1851682000560686,6,6,6,0,0,3,6,1081080,ok
chao,p4.2.c.txt,1,2008,100,2,35.0,269.0,269.0,0.0,1,3.775166100123897,6,6,6,0,0,3,6,1081080,ok
chao,p4.2.d.txt,0,3007,100,2,40.0,302.0,302.0,0.0,1,4.7358114999951795,6,6,6,0,0,3,6,1081080,ok
chao,p4.2.d.txt,1,3008,100,2,40.0,302.0,302.0,0.0,1,4.850028999964707,6,6,6,0,0,3,6,1081080,ok
chao,p4.2.e.txt,0,4007,100,2,45.0,340.0,340.0,0.0,1,6.582189799868502,6,6,6,0,0,3,6,1579776,ok
chao,p4.2.e.txt,1,4008,100,2,45.0,340.0,340.0,0.0,1,6.274010699940845,6,6,6,0,0,3,6,1579776,ok
chao,p4.2.f.txt,0,5007,100,2,50.0,371.0,371.0,0.0,1,8.37227209995035,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.f.txt,1,5008,100,2,50.0,371.0,371.0,0.0,1,8.368527599959634,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.g.txt,0,6007,100,2,55.0,398.0,398.0,0.0,1,8.37881730007939,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.g.txt,1,6008,100,2,55.0,398.0,398.0,0.0,1,9.132140899891965,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.h.txt,0,7007,100,2,60.0,415.0,415.0,0.0,1,9.76427310006693,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.h.txt,1,7008,100,2,60.0,415.0,415.0,0.0,1,10.262846200028434,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.i.txt,0,8007,100,2,65.0,415.0,415.0,0.0,1,14.133879900095053,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.i.txt,1,8008,100,2,65.0,415.0,415.0,0.0,1,15.387527100043371,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.j.txt,0,9007,100,2,70.0,415.0,415.0,0.0,1,13.109490199945867,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.j.txt,1,9008,100,2,70.0,415.0,415.0,0.0,1,11.128442999906838,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.k.txt,0,10007,100,2,75.0,415.0,415.0,0.0,1,10.6440328998724,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.k.txt,1,10008,100,2,75.0,415.0,415.0,0.0,1,11.084079200169072,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.l.txt,0,11007,100,2,80.0,415.0,415.0,0.0,1,15.403590999892913,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.l.txt,1,11008,100,2,80.0,415.0,415.0,0.0,1,21.26890129991807,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.m.txt,0,12007,100,2,85.0,415.0,415.0,0.0,1,20.719255800009705,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.m.txt,1,12008,100,2,85.0,415.0,415.0,0.0,1,13.118423599866219,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.n.txt,0,13007,100,2,90.0,415.0,415.0,0.0,1,15.900283699855208,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.n.txt,1,13008,100,2,90.0,415.0,415.0,0.0,1,13.964986099977978,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.o.txt,0,14007,100,2,95.0,415.0,415.0,0.0,1,16.2919772999594,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.o.txt,1,14008,100,2,95.0,415.0,415.0,0.0,1,12.054642300121486,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.p.txt,0,15007,100,2,100.0,415.0,415.0,0.0,1,11.423531000036746,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.p.txt,1,15008,100,2,100.0,415.0,415.0,0.0,1,16.384588100016117,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.q.txt,0,16007,100,2,105.0,415.0,415.0,0.0,1,12.989311899989843,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.q.txt,1,16008,100,2,105.0,415.0,415.0,0.0,1,15.969635100103915,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.r.txt,0,17007,100,2,110.0,415.0,415.0,0.0,1,12.966764299897477,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.r.txt,1,17008,100,2,110.0,415.0,415.0,0.0,1,11.808854500064626,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.s.txt,0,18007,100,2,115.0,415.0,415.0,0.0,1,11.97396169998683,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.s.txt,1,18008,100,2,115.0,415.0,415.0,0.0,1,11.195133900037035,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.t.txt,0,19007,100,2,120.0,415.0,415.0,0.0,1,11.298207299900241,6,6,6,0,0,3,6,1956240,ok
chao,p4.2.t.txt,1,19008,100,2,120.0,415.0,415.0,0.0,1,8.265713999979198,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.a.txt,0,20007,100,3,16.7,0,0.0,0.0,1,0.12192009994760156,3,3,3,0,0,3,3,6468,ok
chao,p4.3.a.txt,1,20008,100,3,16.7,0,0.0,0.0,1,0.11651419999543577,3,3,3,0,0,3,3,6468,ok
chao,p4.3.b.txt,0,21007,100,3,20.0,38.0,38.0,0.0,1,0.1416903999634087,3,3,3,0,0,3,3,19272,ok
chao,p4.3.b.txt,1,21008,100,3,20.0,38.0,38.0,0.0,1,0.13589040003716946,3,3,3,0,0,3,3,19272,ok
chao,p4.3.c.txt,0,22007,100,3,23.3,150.0,150.0,0.0,1,0.5281162000028417,6,6,6,0,0,3,6,347424,ok
chao,p4.3.c.txt,1,22008,100,3,23.3,150.0,150.0,0.0,1,0.550206899875775,6,6,6,0,0,3,6,347424,ok
chao,p4.3.d.txt,0,23007,100,3,26.7,280.0,280.0,0.0,1,4.73889980011154,36,36,36,0,0,3,36,2507736,ok
chao,p4.3.d.txt,1,23008,100,3,26.7,280.0,280.0,0.0,1,5.977476399973966,36,36,36,0,0,3,36,2507736,ok
chao,p4.3.e.txt,0,24007,100,3,30.0,261.0,261.0,0.0,1,2.087280800100416,6,6,6,0,0,3,6,795696,ok
chao,p4.3.e.txt,1,24008,100,3,30.0,261.0,261.0,0.0,1,1.8585339999990538,6,6,6,0,0,3,6,795696,ok
chao,p4.3.f.txt,0,25007,100,3,33.3,304.0,304.0,0.0,1,3.5638730000937358,6,6,6,0,0,3,6,1081080,ok
chao,p4.3.f.txt,1,25008,100,3,33.3,304.0,304.0,0.0,1,3.0037361999275163,6,6,6,0,0,3,6,1081080,ok
chao,p4.3.g.txt,0,26007,100,3,36.7,342.0,342.0,0.0,1,17.3343180998927,36,36,36,0,0,3,36,6465426,ok
chao,p4.3.g.txt,1,26008,100,3,36.7,342.0,342.0,0.0,1,18.0614241999574,36,36,36,0,0,3,36,6465426,ok
chao,p4.3.h.txt,0,27007,100,3,40.0,349.0,349.0,0.0,1,5.053561199922115,6,6,6,0,0,3,6,1081080,ok
chao,p4.3.h.txt,1,27008,100,3,40.0,349.0,349.0,0.0,1,5.0532174000982195,6,6,6,0,0,3,6,1081080,ok
chao,p4.3.i.txt,0,28007,100,3,43.3,378.0,378.0,0.0,1,5.848878700169735,6,6,6,0,0,3,6,1404480,ok
chao,p4.3.i.txt,1,28008,100,3,43.3,378.0,378.0,0.0,1,6.350407299934886,6,6,6,0,0,3,6,1404480,ok
chao,p4.3.j.txt,0,29007,100,3,46.7,403.0,403.0,0.0,1,6.919614900019951,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.j.txt,1,29008,100,3,46.7,403.0,403.0,0.0,1,7.279496899922378,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.k.txt,0,30007,100,3,50.0,419.0,419.0,0.0,1,7.671869900077581,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.k.txt,1,30008,100,3,50.0,419.0,419.0,0.0,1,7.942385300062597,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.l.txt,0,31007,100,3,53.3,443.0,443.0,0.0,1,8.592352299951017,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.l.txt,1,31008,100,3,53.3,443.0,443.0,0.0,1,8.559838499990292,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.m.txt,0,32007,100,3,56.7,453.0,453.0,0.0,1,9.648548600031063,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.m.txt,1,32008,100,3,56.7,453.0,453.0,0.0,1,8.205653700046241,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.n.txt,0,33007,100,3,60.0,463.0,463.0,0.0,1,9.799557899939828,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.n.txt,1,33008,100,3,60.0,463.0,463.0,0.0,1,9.621700800023973,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.o.txt,0,34007,100,3,63.3,463.0,463.0,0.0,1,8.869171499973163,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.o.txt,1,34008,100,3,63.3,463.0,463.0,0.0,1,9.742949099978432,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.p.txt,0,35007,100,3,66.7,463.0,463.0,0.0,1,9.381187100079842,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.p.txt,1,35008,100,3,66.7,463.0,463.0,0.0,1,9.724421699997038,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.q.txt,0,36007,100,3,70.0,463.0,463.0,0.0,1,10.411706000100821,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.q.txt,1,36008,100,3,70.0,463.0,463.0,0.0,1,9.914386000018567,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.r.txt,0,37007,100,3,73.3,463.0,463.0,0.0,1,9.533172500203364,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.r.txt,1,37008,100,3,73.3,463.0,463.0,0.0,1,10.485261799884029,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.s.txt,0,38007,100,3,76.7,463.0,463.0,0.0,1,10.08026079996489,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.s.txt,1,38008,100,3,76.7,463.0,463.0,0.0,1,9.599006399977952,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.t.txt,0,39007,100,3,80.0,463.0,463.0,0.0,1,9.898645400069654,6,6,6,0,0,3,6,1956240,ok
chao,p4.3.t.txt,1,39008,100,3,80.0,463.0,463.0,0.0,1,6.464217699947767,6,6,6,0,0,3,6,1956240,ok
chao,p4.4.a.txt,0,40007,100,4,12.5,0,0.0,0.0,1,0.11460020008962601,3,3,3,0,0,3,3,6468,ok
chao,p4.4.a.txt,1,40008,100,4,12.5,0,0.0,0.0,1,0.12446380010806024,3,3,3,0,0,3,3,6468,ok
chao,p4.4.b.txt,0,41007,100,4,15.0,0,0.0,0.0,1,0.114174599875696,3,3,3,0,0,3,3,6468,ok
chao,p4.4.b.txt,1,41008,100,4,15.0,0,0.0,0.0,1,0.11697010009083897,3,3,3,0,0,3,3,6468,ok
chao,p4.4.c.txt,0,42007,100,4,17.5,0,0.0,0.0,1,0.12018910003826022,3,3,3,0,0,3,3,6468,ok
chao,p4.4.c.txt,1,42008,100,4,17.5,0,0.0,0.0,1,0.1357126000802964,3,3,3,0,0,3,3,6468,ok
chao,p4.4.d.txt,0,43007,100,4,20.0,38.0,38.0,0.0,1,0.12964990001637489,3,3,3,0,0,3,3,19272,ok
chao,p4.4.d.txt,1,43008,100,4,20.0,38.0,38.0,0.0,1,0.13673559995368123,3,3,3,0,0,3,3,19272,ok
chao,p4.4.e.txt,0,44007,100,4,22.5,181.0,181.0,0.0,1,1.820329500013031,36,36,36,0,0,3,36,1090650,ok
chao,p4.4.e.txt,1,44008,100,4,22.5,181.0,181.0,0.0,1,1.972322899964638,36,36,36,0,0,3,36,1090650,ok
chao,p4.4.f.txt,0,45007,100,4,25.0,214.0,214.0,0.0,1,0.6182212999556214,6,6,6,0,0,3,6,262416,ok
chao,p4.4.f.txt,1,45008,100,4,25.0,214.0,214.0,0.0,1,0.6089249999495223,6,6,6,0,0,3,6,262416,ok
chao,p4.4.g.txt,0,46007,100,4,27.5,340.0,340.0,0.0,1,4.055649500107393,36,36,36,0,0,3,36,2615250,ok
chao,p4.4.g.txt,1,46008,100,4,27.5,340.0,340.0,0.0,1,3.7168785000685602,36,36,36,0,0,3,36,2615250,ok
chao,p4.4.h.txt,0,47007,100,4,30.0,305.0,305.0,0.0,1,1.354359999881126,6,6,6,0,0,3,6,795696,ok
chao,p4.4.h.txt,1,47008,100,4,30.0,305.0,305.0,0.0,1,1.1388881000457332,6,6,6,0,0,3,6,795696,ok
chao,p4.4.i.txt,0,48007,100,4,32.5,467.0,467.0,0.0,1,6.7091041000094265,36,36,36,0,0,3,36,4492752,ok
chao,p4.4.i.txt,1,48008,100,4,32.5,467.0,467.0,0.0,1,7.285094299935736,36,36,36,0,0,3,36,4492752,ok
chao,p4.4.j.txt,0,49007,100,4,35.0,361.0,361.0,0.0,1,2.3013351999688894,6,6,6,0,0,3,6,1081080,ok
chao,p4.4.j.txt,1,49008,100,4,35.0,361.0,361.0,0.0,1,1.9791324000107124,6,6,6,0,0,3,6,1081080,ok
chao,p4.4.k.txt,0,50007,100,4,37.5,386.0,386.0,0.0,1,10.78072100004647,36,36,36,0,0,3,36,6354348,ok
chao,p4.4.k.txt,1,50008,100,4,37.5,386.0,386.0,0.0,1,10.943826700095087,36,36,36,0,0,3,36,6354348,ok
chao,p4.4.l.txt,0,51007,100,4,40.0,394.0,394.0,0.0,1,3.0987627001013607,6,6,6,0,0,3,6,1081080,ok
chao,p4.4.l.txt,1,51008,100,4,40.0,394.0,394.0,0.0,1,2.90725950000342,6,6,6,0,0,3,6,1081080,ok
chao,p4.4.m.txt,0,52007,100,4,42.5,427.0,427.0,0.0,1,3.7056888000806794,6,6,6,0,0,3,6,1956240,ok
chao,p4.4.m.txt,1,52008,100,4,42.5,427.0,427.0,0.0,1,3.605839200085029,6,6,6,0,0,3,6,1956240,ok
chao,p4.4.n.txt,0,53007,100,4,45.0,435.0,435.0,0.0,1,3.826065900037065,6,6,6,0,0,3,6,1579776,ok
chao,p4.4.n.txt,1,53008,100,4,45.0,435.0,435.0,0.0,1,4.233309000032023,6,6,6,0,0,3,6,1579776,ok
