dataset,instance,score,gap_to_reference_best_percent
chao,p4.2.a.txt,194.0,0.0
chao,p4.2.a.txt,194.0,0.0
chao,p4.2.b.txt,321.0,0.0
chao,p4.2.b.txt,321.0,0.0
chao,p4.2.c.txt,390.0,9.722222222222223
chao,p4.2.c.txt,432.0,0.0
chao,p4.2.d.txt,494.0,4.633204633204633
chao,p4.2.d.txt,518.0,0.0
chao,p4.2.e.txt,606.0,0.0
chao,p4.2.e.txt,596.0,1.65016501650165
chao,p4.2.f.txt,654.0,0.0
chao,p4.2.f.txt,649.0,0.764525993883792
chao,p4.2.g.txt,716.0,0.6934812760055479
chao,p4.2.g.txt,721.0,0.0
chao,p4.2.h.txt,771.0,0.0
chao,p4.2.h.txt,758.0,1.6861219195849546
chao,p4.2.i.txt,800.0,4.761904761904762
chao,p4.2.i.txt,840.0,0.0
chao,p4.2.j.txt,896.0,0.0
chao,p4.2.j.txt,882.0,1.5625
chao,p4.2.k.txt,951.0,0.0
chao,p4.2.k.txt,925.0,2.7339642481598316
chao,p4.2.l.txt,1009.0,0.0
chao,p4.2.l.txt,996.0,1.288404360753221
chao,p4.2.m.txt,1073.0,0.9233610341643583
chao,p4.2.m.txt,1083.0,0.0
chao,p4.2.n.txt,1066.0,3.3544877606527654
chao,p4.2.n.txt,1103.0,0.0
chao,p4.2.o.txt,1135.0,1.2184508268059182
chao,p4.2.o.txt,1149.0,0.0
chao,p4.2.p.txt,1170.0,0.6791171477079796
chao,p4.2.p.txt,1178.0,0.0
chao,p4.2.q.txt,1206.0,0.0
chao,p4.2.q.txt,1192.0,1.1608623548922055
chao,p4.2.r.txt,1195.0,0.8298755186721992
chao,p4.2.r.txt,1205.0,0.0
chao,p4.2.s.txt,1276.0,0.0
chao,p4.2.s.txt,1248.0,2.19435736677116
chao,p4.2.t.txt,1284.0,0.8494208494208495
chao,p4.2.t.txt,1295.0,0.0
chao,p4.3.a.txt,0.0,0.0
chao,p4.3.a.txt,0.0,0.0
chao,p4.3.b.txt,38.0,0.0
chao,p4.3.b.txt,38.0,0.0
chao,p4.3.c.txt,193.0,0.0
chao,p4.3.c.txt,187.0,3.1088082901554404
chao,p4.3.d.txt,335.0,0.0
chao,p4.3.d.txt,322.0,3.880597014925373
chao,p4.3.e.txt,460.0,0.0
chao,p4.3.e.txt,460.0,0.0
chao,p4.3.f.txt,515.0,7.8711985688729875
chao,p4.3.f.txt,559.0,0.0
chao,p4.3.g.txt,582.0,6.430868167202572
chao,p4.3.g.txt,622.0,0.0
chao,p4.3.h.txt,653.0,2.9717682020802374
chao,p4.3.h.txt,673.0,0.0
chao,p4.3.i.txt,774.0,0.0
chao,p4.3.i.txt,765.0,1.1627906976744187
chao,p4.3.j.txt,833.0,0.0
chao,p4.3.j.txt,806.0,3.241296518607443
chao,p4.3.k.txt,878.0,0.0
chao,p4.3.k.txt,833.0,5.125284738041002
chao,p4.3.l.txt,916.0,0.0
chao,p4.3.l.txt,868.0,5.240174672489083
chao,p4.3.m.txt,962.0,0.0
chao,p4.3.m.txt,921.0,4.261954261954262
chao,p4.3.n.txt,1023.0,3.125
chao,p4.3.n.txt,1056.0,0.0
chao,p4.3.o.txt,1063.0,1.20817843866171
chao,p4.3.o.txt,1076.0,0.0
chao,p4.3.p.txt,1155.0,0.0
chao,p4.3.p.txt,1124.0,2.683982683982684
chao,p4.3.q.txt,1159.0,0.8554319931565441
chao,p4.3.q.txt,1169.0,0.0
chao,p4.3.r.txt,1155.0,1.702127659574468
chao,p4.3.r.txt,1175.0,0.0
chao,p4.3.s.txt,1218.0,1.694915254237288
chao,p4.3.s.txt,1239.0,0.0
chao,p4.3.t.txt,1251.0,1.5735641227380015
chao,p4.3.t.txt,1271.0,0.0
chao,p4.4.a.txt,0.0,0.0
chao,p4.4.a.txt,0.0,0.0
chao,p4.4.b.txt,0.0,0.0
chao,p4.4.b.txt,0.0,0.0
chao,p4.4.c.txt,0.0,0.0
chao,p4.4.c.txt,0.0,0.0
chao,p4.4.d.txt,38.0,0.0
chao,p4.4.d.txt,38.0,0.0
chao,p4.4.e.txt,182.0,0.0
chao,p4.4.e.txt,182.0,0.0
chao,p4.4.f.txt,309.0,1.9047619047619049
chao,p4.4.f.txt,315.0,0.0
chao,p4.4.g.txt,444.0,0.0
chao,p4.4.g.txt,433.0,2.4774774774774775
chao,p4.4.h.txt,516.0,1.1494252873563218
chao,p4.4.h.txt,522.0,0.0
chao,p4.4.i.txt,636.0,0.0
chao,p4.4.i.txt,625.0,1.729559748427673
chao,p4.4.j.txt,702.0,0.0
chao,p4.4.j.txt,669.0,4.700854700854701
chao,p4.4.k.txt,748.0,0.0
chao,p4.4.k.txt,741.0,0.9358288770053476
chao,p4.4.l.txt,836.0,0.0
chao,p4.4.l.txt,756.0,9.569377990430622
chao,p4.4.m.txt,846.0,5.580357142857143
chao,p4.4.m.txt,896.0,0.0
chao,p4.4.n.txt,900.0,3.0172413793103448
chao,p4.4.n.txt,928.0,0.0
chao,p4.4.o.txt,972.0,0.0
chao,p4.4.o.txt,972.0,0.0
chao,p4.4.p.txt,936.0,7.234886025768088
chao,p4.4.p.txt,1009.0,0.0
chao,p4.4.q.txt,1011.0,3.8058991436726926
chao,p4.4.q.txt,1051.0,0.0
chao,p4.4.r.txt,1126.0,0.0
chao,p4.4.r.txt,1123.0,0.2664298401420959
chao,p4.4.s.txt,1091.0,7.5423728813559325
chao,p4.4.s.txt,1180.0,0.0
chao,p4.4.t.txt,1256.0,0.0
chao,p4.4.t.txt,1208.0,3.821656050955414
chao,p5.2.a.txt,0.0,0.0
chao,p5.2.a.txt,0.0,0.0
chao,p5.2.b.txt,20.0,0.0
chao,p5.2.b.txt,20.0,0.0
chao,p5.2.c.txt,50.0,0.0
chao,p5.2.c.txt,50.0,0.0
chao,p5.2.d.txt,80.0,0.0
chao,p5.2.d.txt,80.0,0.0
chao,p5.2.e.txt,175.0,2.7777777777777777
chao,p5.2.e.txt,180.0,0.0
chao,p5.2.f.txt,240.0,0.0
chao,p5.2.f.txt,215.0,10.416666666666668
chao,p5.2.g.txt,320.0,0.0
chao,p5.2.g.txt,320.0,0.0
chao,p5.2.h.txt,385.0,1.282051282051282
chao,p5.2.h.txt,390.0,0.0
chao,p5.2.i.txt,455.0,1.0869565217391304
chao,p5.2.i.txt,460.0,0.0
chao,p5.2.j.txt,555.0,0.0
chao,p5.2.j.txt,555.0,0.0
chao,p5.2.k.txt,660.0,0.0
