dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_iterations_to_convergence,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p4.2.a.txt,100,2,2,194.0,194.0,194.0,0.0,0.056010999999671185,0.056010999999671185,1.5,100.0,0.0,0.0
chao,p4.2.b.txt,100,2,2,318.0,318.0,317.5,0.7071067811865476,0.07674045000021579,0.07674045000021579,12.0,50.0,0.15723270440251574,0.3144654088050315
chao,p4.2.c.txt,100,2,2,432.0,432.0,428.5,4.949747468305833,0.10450289999971574,0.10450289999971574,16.0,50.0,0.8101851851851851,1.6203703703703702
chao,p4.2.d.txt,100,2,2,516.0,516.0,506.5,13.435028842544403,0.1373794999999518,0.1373794999999518,20.0,50.0,1.8410852713178296,3.6821705426356592
chao,p4.2.e.txt,100,2,2,598.0,598.0,586.5,16.263455967290593,0.17157550000047195,0.17157550000047195,8.0,50.0,1.9230769230769231,3.8461538461538463
chao,p4.2.f.txt,100,2,2,650.0,650.0,643.5,9.192388155425117,0.15905620000012277,0.15905620000012277,16.5,50.0,1.0,2.0
chao,p4.2.g.txt,100,2,2,713.0,713.0,707.0,8.48528137423857,0.18825624999954016,0.18825624999954016,12.5,50.0,0.8415147265077139,1.6830294530154277
chao,p4.2.h.txt,100,2,2,767.0,767.0,760.0,9.899494936611665,0.23307149999982357,0.23307149999982357,12.0,50.0,0.9126466753585397,1.8252933507170794
chao,p4.2.i.txt,100,2,2,840.0,840.0,823.5,23.33452377915607,0.24095015000057174,0.24095015000057174,9.0,50.0,1.9642857142857142,3.9285714285714284
chao,p4.2.j.txt,100,2,2,895.0,895.0,893.0,2.8284271247461903,0.27471095000055357,0.27471095000055357,10.0,50.0,0.22346368715083798,0.44692737430167595
chao,p4.2.k.txt,100,2,2,962.0,962.0,940.5,30.405591591021544,0.2841676500001995,0.2841676500001995,11.0,50.0,2.234927234927235,4.46985446985447
chao,p4.2.l.txt,100,2,2,1014.0,1014.0,993.5,28.991378028648448,0.28413279999949737,0.28413279999949737,14.5,50.0,2.021696252465483,4.043392504930966
chao,p4.2.m.txt,100,2,2,1053.0,1053.0,1037.0,22.627416997969522,0.31595164999998815,0.31595164999998815,15.5,50.0,1.519468186134853,3.038936372269706
chao,p4.2.n.txt,100,2,2,1095.0,1095.0,1077.0,25.45584412271571,0.29143444999954227,0.29143444999954227,10.0,50.0,1.643835616438356,3.287671232876712
chao,p4.2.o.txt,100,2,2,1144.0,1144.0,1136.5,10.606601717798213,0.28345699999954377,0.28345699999954377,9.5,50.0,0.6555944055944056,1.3111888111888113
chao,p4.2.p.txt,100,2,2,1163.0,1163.0,1159.5,4.949747468305833,0.3078315000002476,0.3078315000002476,17.0,50.0,0.3009458297506449,0.6018916595012898
chao,p4.2.q.txt,100,2,2,1204.0,1204.0,1199.0,7.0710678118654755,0.33070614999905956,0.33070614999905956,7.0,50.0,0.41528239202657813,0.8305647840531563
chao,p4.2.r.txt,100,2,2,1246.0,1246.0,1221.5,34.64823227814083,0.30902639999931125,0.30902639999931125,13.0,50.0,1.9662921348314606,3.932584269662921
chao,p4.2.s.txt,100,2,2,1289.0,1289.0,1271.0,25.45584412271571,0.4171175999990737,0.4171175999990737,16.0,50.0,1.3964313421256789,2.7928626842513578
chao,p4.2.t.txt,100,2,2,1284.0,1284.0,1279.5,6.363961030678928,0.36334325000098033,0.36334325000098033,12.0,50.0,0.35046728971962615,0.7009345794392523
chao,p4.3.a.txt,100,3,2,0.0,0.0,0.0,0.0,0.007856999999603431,0.007856999999603431,0.0,100.0,0.0,0.0
chao,p4.3.b.txt,100,3,2,38.0,38.0,38.0,0.0,1.3283023499998308,1.3283023499998308,0.0,100.0,0.0,0.0
chao,p4.3.c.txt,100,3,2,187.0,187.0,187.0,0.0,0.07976335000057588,0.07976335000057588,13.5,100.0,0.0,0.0
chao,p4.3.d.txt,100,3,2,326.0,326.0,324.0,2.8284271247461903,0.13710605000051146,0.13710605000051146,8.5,50.0,0.6134969325153374,1.2269938650306749
chao,p4.3.e.txt,100,3,2,460.0,460.0,451.5,12.020815280171307,0.16593005000049743,0.16593005000049743,1.0,50.0,1.8478260869565217,3.6956521739130435
chao,p4.3.f.txt,100,3,2,544.0,544.0,540.5,4.949747468305833,0.1911347499999465,0.1911347499999465,18.0,50.0,0.6433823529411764,1.2867647058823528
chao,p4.3.g.txt,100,3,2,600.0,600.0,594.5,7.7781745930520225,0.2175408499997502,0.2175408499997502,15.0,50.0,0.9166666666666666,1.8333333333333333
chao,p4.3.h.txt,100,3,2,675.0,675.0,662.0,18.384776310850235,0.2367999999996755,0.2367999999996755,12.5,50.0,1.925925925925926,3.851851851851852
chao,p4.3.i.txt,100,3,2,767.0,767.0,757.0,14.142135623730951,0.25567790000059176,0.25567790000059176,8.0,50.0,1.303780964797914,2.607561929595828
chao,p4.3.j.txt,100,3,2,833.0,833.0,806.0,38.18376618407357,0.2685615999998845,0.2685615999998845,13.5,50.0,3.241296518607443,6.482593037214886
chao,p4.3.k.txt,100,3,2,872.0,872.0,854.5,24.748737341529164,0.26853249999930995,0.26853249999930995,11.5,50.0,2.0068807339449544,4.013761467889909
chao,p4.3.l.txt,100,3,2,910.0,910.0,886.5,33.23401871576773,0.30957534999924974,0.30957534999924974,9.0,50.0,2.582417582417582,5.164835164835164
chao,p4.3.m.txt,100,3,2,996.0,996.0,939.0,80.61017305526642,0.3087421500003984,0.3087421500003984,15.5,50.0,5.72289156626506,11.44578313253012
chao,p4.3.n.txt,100,3,2,1030.0,1030.0,1023.0,9.899494936611665,0.3047531000001982,0.3047531000001982,14.5,50.0,0.6796116504854369,1.3592233009708738
chao,p4.3.o.txt,100,3,2,1089.0,1089.0,1050.0,55.154328932550705,0.3096677499997895,0.3096677499997895,16.5,50.0,3.581267217630854,7.162534435261708
chao,p4.3.p.txt,100,3,2,1121.0,1121.0,1115.0,8.48528137423857,0.32790244999978313,0.32790244999978313,14.5,50.0,0.535236396074933,1.070472792149866
chao,p4.3.q.txt,100,3,2,1164.0,1164.0,1139.5,34.64823227814083,0.3446210499996596,0.3446210499996596,20.0,50.0,2.104810996563574,4.209621993127148
chao,p4.3.r.txt,100,3,2,1181.0,1181.0,1178.5,3.5355339059327378,0.35838834999958635,0.35838834999958635,4.5,50.0,0.21168501270110077,0.42337002540220153
chao,p4.3.s.txt,100,3,2,1253.0,1253.0,1251.5,2.1213203435596424,0.3126126999995904,0.3126126999995904,18.0,50.0,0.11971268954509177,0.23942537909018355
chao,p4.3.t.txt,100,3,2,1274.0,1274.0,1272.0,2.8284271247461903,0.3408557999991899,0.3408557999991899,14.5,50.0,0.15698587127158556,0.3139717425431711
chao,p4.4.a.txt,100,4,2,0.0,0.0,0.0,0.0,0.010807450000356766,0.010807450000356766,0.0,100.0,0.0,0.0
chao,p4.4.b.txt,100,4,2,0.0,0.0,0.0,0.0,0.010026550000475254,0.010026550000475254,0.0,100.0,0.0,0.0
chao,p4.4.c.txt,100,4,2,0.0,0.0,0.0,0.0,0.01004449999982171,0.01004449999982171,0.0,100.0,0.0,0.0
chao,p4.4.d.txt,100,4,2,38.0,38.0,38.0,0.0,1.5211095999993631,1.5211095999993631,0.0,100.0,0.0,0.0
chao,p4.4.e.txt,100,4,2,172.0,172.0,172.0,0.0,0.09211874999982683,0.09211874999982683,0.0,100.0,0.0,0.0
chao,p4.4.f.txt,100,4,2,315.0,315.0,311.0,5.656854249492381,0.12954219999937777,0.12954219999937777,14.5,50.0,1.2698412698412698,2.5396825396825395
chao,p4.4.g.txt,100,4,2,455.0,455.0,438.5,23.33452377915607,0.17100035000021307,0.17100035000021307,8.0,50.0,3.626373626373627,7.252747252747254
chao,p4.4.h.txt,100,4,2,528.0,528.0,526.5,2.1213203435596424,0.2033609999998589,0.2033609999998589,13.0,50.0,0.2840909090909091,0.5681818181818182
chao,p4.4.i.txt,100,4,2,636.0,636.0,629.0,9.899494936611665,0.2350513499986846,0.2350513499986846,10.5,50.0,1.10062893081761,2.20125786163522
chao,p4.4.j.txt,100,4,2,711.0,711.0,693.0,25.45584412271571,0.2660393500000282,0.2660393500000282,8.5,50.0,2.5316455696202533,5.063291139240507
chao,p4.4.k.txt,100,4,2,745.0,745.0,727.0,25.45584412271571,0.2858601500001896,0.2858601500001896,14.0,50.0,2.4161073825503356,4.832214765100671
chao,p4.4.l.txt,100,4,2,838.0,838.0,827.5,14.849242404917497,0.3167572999991535,0.3167572999991535,16.5,50.0,1.2529832935560858,2.5059665871121717
chao,p4.4.m.txt,100,4,2,901.0,901.0,875.5,36.062445840513924,0.3150541000004523,0.3150541000004523,13.5,50.0,2.8301886792452833,5.660377358490567
chao,p4.4.n.txt,100,4,2,927.0,927.0,897.0,42.42640687119285,0.3603985499994451,0.3603985499994451,6.0,50.0,3.2362459546925564,6.472491909385113
chao,p4.4.o.txt,100,4,2,962.0,962.0,962.0,0.0,0.37821809999968536,0.37821809999968536,16.5,100.0,0.0,0.0
chao,p4.4.p.txt,100,4,2,1005.0,1005.0,974.5,43.1335136523794,0.3619144000003871,0.3619144000003871,13.0,50.0,3.0348258706467663,6.069651741293533
chao,p4.4.q.txt,100,4,2,1063.0,1063.0,1044.0,26.870057685088806,0.38317279999955645,0.38317279999955645,17.5,50.0,1.7873941674506115,3.574788334901223
chao,p4.4.r.txt,100,4,2,1129.0,1129.0,1108.0,29.698484809834994,0.3554291000000376,0.3554291000000376,11.0,50.0,1.8600531443755535,3.720106288751107
chao,p4.4.s.txt,100,4,2,1185.0,1185.0,1184.5,0.7071067811865476,0.3446569500001715,0.3446569500001715,15.0,50.0,0.04219409282700422,0.08438818565400844
chao,p4.4.t.txt,100,4,2,1235.0,1235.0,1222.5,17.67766952966369,0.3610146499995608,0.3610146499995608,19.5,50.0,1.0121457489878543,2.0242914979757085
chao,p5.2.a.txt,66,2,2,0.0,0.0,0.0,0.0,0.0039601499993295874,0.0039601499993295874,0.0,100.0,0.0,0.0
chao,p5.2.b.txt,66,2,2,20.0,20.0,20.0,0.0,0.016173799999705807,0.016173799999705807,0.0,100.0,0.0,0.0
chao,p5.2.c.txt,66,2,2,50.0,50.0,50.0,0.0,0.017218400000274414,0.017218400000274414,7.0,100.0,0.0,0.0
chao,p5.2.d.txt,66,2,2,80.0,80.0,80.0,0.0,0.02359809999961726,0.02359809999961726,1.0,100.0,0.0,0.0
chao,p5.2.e.txt,66,2,2,180.0,180.0,177.5,3.5355339059327378,0.03258610000011686,0.03258610000011686,4.5,50.0,1.3888888888888888,2.7777777777777777
chao,p5.2.f.txt,66,2,2,215.0,215.0,215.0,0.0,0.032044400000813766,0.032044400000813766,1.5,100.0,0.0,0.0
chao,p5.2.g.txt,66,2,2,320.0,320.0,320.0,0.0,0.04101560000071913,0.04101560000071913,1.5,100.0,0.0,0.0
chao,p5.2.h.txt,66,2,2,390.0,390.0,387.5,3.5355339059327378,0.047836750000897155,0.047836750000897155,1.5,50.0,0.641025641025641,1.282051282051282
chao,p5.2.i.txt,66,2,2,460.0,460.0,457.5,3.5355339059327378,0.0508355499996469,0.0508355499996469,6.5,50.0,0.5434782608695652,1.0869565217391304
chao,p5.2.j.txt,66,2,2,555.0,555.0,552.5,3.5355339059327378,0.06647019999945769,0.06647019999945769,7.5,50.0,0.45045045045045046,0.9009009009009009
chao,p5.2.k.txt,66,2,2,660.0,660.0,650.0,14.142135623730951,0.06447614999979123,0.06447614999979123,8.5,50.0,1.5151515151515151,3.0303030303030303
chao,p5.2.l.txt,66,2,2,770.0,770.0,740.0,42.42640687119285,0.08804030000010243,0.08804030000010243,9.0,50.0,3.896103896103896,7.792207792207792
chao,p5.2.m.txt,66,2,2,830.0,830.0,815.0,21.213203435596427,0.07785855000020092,0.07785855000020092,4.0,50.0,1.8072289156626504,3.614457831325301
chao,p5.2.n.txt,66,2,2,890.0,890.0,880.0,14.142135623730951,0.3094534499996371,0.3094534499996371,12.5,50.0,1.1235955056179776,2.247191011235955
chao,p5.2.o.txt,66,2,2,985.0,985.0,975.0,14.142135623730951,0.18061015000057523,0.18061015000057523,12.0,50.0,1.015228426395939,2.030456852791878
chao,p5.2.p.txt,66,2,2,1150.0,1150.0,1120.0,42.42640687119285,0.09159795000050508,0.09159795000050508,17.0,50.0,2.608695652173913,5.217391304347826
chao,p5.2.q.txt,66,2,2,1160.0,1160.0,1135.0,35.35533905932738,0.11291745000016817,0.11291745000016817,15.0,50.0,2.1551724137931036,4.310344827586207
chao,p5.2.r.txt,66,2,2,1240.0,1240.0,1225.0,21.213203435596427,0.6898574500000905,0.6898574500000905,18.0,50.0,1.2096774193548387,2.4193548387096775
chao,p5.2.s.txt,66,2,2,1325.0,1325.0,1312.5,17.67766952966369,0.1785783999994237,0.1785783999994237,17.5,50.0,0.9433962264150944,1.8867924528301887
chao,p5.2.t.txt,66,2,2,1390.0,1390.0,1365.0,35.35533905932738,0.10459655000067869,0.10459655000067869,9.5,50.0,1.7985611510791366,3.597122302158273
chao,p5.2.u.txt,66,2,2,1440.0,1440.0,1417.5,31.81980515339464,0.11352780000015628,0.11352780000015628,10.0,50.0,1.5625,3.125
chao,p5.2.v.txt,66,2,2,1485.0,1485.0,1480.0,7.0710678118654755,0.15029664999929082,0.15029664999929082,8.5,50.0,0.33670033670033667,0.6734006734006733
chao,p5.2.w.txt,66,2,2,1525.0,1525.0,1522.5,3.5355339059327378,0.1964822499994625,0.1964822499994625,10.5,50.0,0.16393442622950818,0.32786885245901637
chao,p5.2.x.txt,66,2,2,1570.0,1570.0,1567.5,3.5355339059327378,0.2511937500003114,0.2511937500003114,10.5,50.0,0.15923566878980894,0.3184713375796179
chao,p5.2.y.txt,66,2,2,1620.0,1620.0,1615.0,7.0710678118654755,0.11456400000042777,0.11456400000042777,15.5,50.0,0.30864197530864196,0.6172839506172839
chao,p5.2.z.txt,66,2,2,1665.0,1665.0,1657.5,10.606601717798213,0.1762005999989924,0.1762005999989924,2.5,50.0,0.45045045045045046,0.9009009009009009
chao,p5.3.a.txt,66,3,2,0.0,0.0,0.0,0.0,0.005294049999974959,0.005294049999974959,0.0,100.0,0.0,0.0
chao,p5.3.b.txt,66,3,2,15.0,15.0,15.0,0.0,0.018136499999855005,0.018136499999855005,0.0,100.0,0.0,0.0
chao,p5.3.c.txt,66,3,2,20.0,20.0,20.0,0.0,0.021463199999743665,0.021463199999743665,0.0,100.0,0.0,0.0
chao,p5.3.d.txt,66,3,2,60.0,60.0,60.0,0.0,0.024785249999695225,0.024785249999695225,0.0,100.0,0.0,0.0
chao,p5.3.e.txt,66,3,2,95.0,95.0,95.0,0.0,0.030852949999825796,0.030852949999825796,3.5,100.0,0.0,0.0
chao,p5.3.f.txt,66,3,2,110.0,110.0,110.0,0.0,0.0392015999996147,0.0392015999996147,0.0,100.0,0.0,0.0
chao,p5.3.g.txt,66,3,2,185.0,185.0,185.0,0.0,0.04479575000004843,0.04479575000004843,2.5,100.0,0.0,0.0
chao,p5.3.h.txt,66,3,2,260.0,260.0,260.0,0.0,0.05221154999981081,0.05221154999981081,2.5,100.0,0.0,0.0
chao,p5.3.i.txt,66,3,2,335.0,335.0,310.0,35.35533905932738,0.058881599999949685,0.058881599999949685,0.5,50.0,7.462686567164178,14.925373134328357
chao,p5.3.j.txt,66,3,2,470.0,470.0,450.0,28.284271247461902,0.06137999999918975,0.06137999999918975,5.0,50.0,4.25531914893617,8.51063829787234
chao,p5.3.k.txt,66,3,2,470.0,470.0,470.0,0.0,0.07509429999936401,0.07509429999936401,0.5,100.0,0.0,0.0
chao,p5.3.l.txt,66,3,2,585.0,585.0,580.0,7.0710678118654755,0.08672740000019985,0.08672740000019985,1.0,50.0,0.8547008547008548,1.7094017094017095
chao,p5.3.m.txt,66,3,2,650.0,650.0,647.5,3.5355339059327378,0.0981981499999165,0.0981981499999165,5.5,50.0,0.38461538461538464,0.7692307692307693
chao,p5.3.n.txt,66,3,2,745.0,745.0,720.0,35.35533905932738,0.1401517000003878,0.1401517000003878,13.0,50.0,3.3557046979865772,6.7114093959731544
chao,p5.3.o.txt,66,3,2,835.0,835.0,817.5,24.748737341529164,0.7005622500000754,0.7005622500000754,6.5,50.0,2.095808383233533,4.191616766467066
chao,p5.3.p.txt,66,3,2,990.0,990.0,990.0,0.0,0.10348229999999603,0.10348229999999603,9.5,100.0,0.0,0.0
chao,p5.3.q.txt,66,3,2,1040.0,1040.0,1032.5,10.606601717798213,0.926916949999395,0.926916949999395,10.0,50.0,0.7211538461538461,1.4423076923076923
chao,p5.3.r.txt,66,3,2,1110.0,1110.0,1100.0,14.142135623730951,0.11252330000024813,0.11252330000024813,2.5,50.0,0.9009009009009009,1.8018018018018018
chao,p5.3.s.txt,66,3,2,1165.0,1165.0,1160.0,7.0710678118654755,0.5712729500000933,0.5712729500000933,10.5,50.0,0.4291845493562232,0.8583690987124464
chao,p5.3.t.txt,66,3,2,1255.0,1255.0,1245.0,14.142135623730951,1.7848702999990564,1.7848702999990564,11.0,50.0,0.796812749003984,1.593625498007968
chao,p5.3.u.txt,66,3,2,1345.0,1345.0,1340.0,7.0710678118654755,0.1727400999989186,0.1727400999989186,12.5,50.0,0.37174721189591076,0.7434944237918215
chao,p5.3.v.txt,66,3,2,1405.0,1405.0,1395.0,14.142135623730951,0.2894741999998587,0.2894741999998587,7.0,50.0,0.7117437722419928,1.4234875444839856
chao,p5.3.w.txt,66,3,2,1460.0,1460.0,1437.5,31.81980515339464,0.6986879500000214,0.6986879500000214,11.0,50.0,1.5410958904109588,3.0821917808219177
chao,p5.3.x.txt,66,3,2,1520.0,1520.0,1512.5,10.606601717798213,2.2066182499993374,2.2066182499993374,2.5,50.0,0.4934210526315789,0.9868421052631579
chao,p5.3.y.txt,66,3,2,1570.0,1570.0,1550.0,28.284271247461902,2.290436950000185,2.290436950000185,14.5,50.0,1.2738853503184715,2.547770700636943
chao,p5.3.z.txt,66,3,2,1615.0,1615.0,1600.0,21.213203435596427,0.5720087999998213,0.5720087999998213,7.5,50.0,0.9287925696594427,1.8575851393188854
chao,p5.4.a.txt,66,4,2,0.0,0.0,0.0,0.0,0.007164400000874593,0.007164400000874593,0.0,100.0,0.0,0.0
chao,p5.4.b.txt,66,4,2,0.0,0.0,0.0,0.0,0.00691720000031637,0.00691720000031637,0.0,100.0,0.0,0.0
chao,p5.4.c.txt,66,4,2,20.0,20.0,20.0,0.0,0.02764225000009901,0.02764225000009901,0.0,100.0,0.0,0.0
chao,p5.4.d.txt,66,4,2,20.0,20.0,20.0,0.0,0.026756300000670308,0.026756300000670308,0.0,100.0,0.0,0.0
chao,p5.4.e.txt,66,4,2,20.0,20.0,20.0,0.0,0.027157449999322125,0.027157449999322125,0.0,100.0,0.0,0.0
chao,p5.4.f.txt,66,4,2,80.0,80.0,80.0,0.0,0.040735449999374396,0.040735449999374396,0.0,100.0,0.0,0.0
chao,p5.4.g.txt,66,4,2,140.0,140.0,140.0,0.0,0.0595632000004116,0.0595632000004116,0.0,100.0,0.0,0.0
chao,p5.4.h.txt,66,4,2,140.0,140.0,140.0,0.0,0.05858334999993531,0.05858334999993531,0.0,100.0,0.0,0.0
chao,p5.4.i.txt,66,4,2,240.0,240.0,240.0,0.0,0.06011350000062521,0.06011350000062521,1.0,100.0,0.0,0.0
chao,p5.4.j.txt,66,4,2,340.0,340.0,340.0,0.0,0.07126735000019835,0.07126735000019835,18.5,100.0,0.0,0.0
chao,p5.4.k.txt,66,4,2,340.0,340.0,340.0,0.0,0.09116899999935413,0.09116899999935413,0.0,100.0,0.0,0.0
chao,p5.4.l.txt,66,4,2,430.0,430.0,412.5,24.748737341529164,0.07854040000074747,0.07854040000074747,11.5,50.0,4.069767441860465,8.13953488372093
chao,p5.4.m.txt,66,4,2,555.0,555.0,522.5,45.96194077712559,0.08308414999919478,0.08308414999919478,20.0,50.0,5.8558558558558556,11.711711711711711
chao,p5.4.n.txt,66,4,2,620.0,620.0,620.0,0.0,0.09291264999956184,0.09291264999956184,3.0,100.0,0.0,0.0
