dataset,instance,score,gap_to_reference_best_percent
chao,p4.2.a.txt,194.0,0.0
chao,p4.2.a.txt,194.0,0.0
chao,p4.2.b.txt,318.0,0.0
chao,p4.2.b.txt,317.0,0.3144654088050315
chao,p4.2.c.txt,425.0,1.6203703703703702
chao,p4.2.c.txt,432.0,0.0
chao,p4.2.d.txt,497.0,3.6821705426356592
chao,p4.2.d.txt,516.0,0.0
chao,p4.2.e.txt,598.0,0.0
chao,p4.2.e.txt,575.0,3.8461538461538463
chao,p4.2.f.txt,637.0,2.0
chao,p4.2.f.txt,650.0,0.0
chao,p4.2.g.txt,701.0,1.6830294530154277
chao,p4.2.g.txt,713.0,0.0
chao,p4.2.h.txt,767.0,0.0
chao,p4.2.h.txt,753.0,1.8252933507170794
chao,p4.2.i.txt,807.0,3.9285714285714284
chao,p4.2.i.txt,840.0,0.0
chao,p4.2.j.txt,895.0,0.0
chao,p4.2.j.txt,891.0,0.44692737430167595
chao,p4.2.k.txt,962.0,0.0
chao,p4.2.k.txt,919.0,4.46985446985447
chao,p4.2.l.txt,1014.0,0.0
chao,p4.2.l.txt,973.0,4.043392504930966
chao,p4.2.m.txt,1053.0,0.0
chao,p4.2.m.txt,1021.0,3.038936372269706
chao,p4.2.n.txt,1059.0,3.287671232876712
chao,p4.2.n.txt,1095.0,0.0
chao,p4.2.o.txt,1129.0,1.3111888111888113
chao,p4.2.o.txt,1144.0,0.0
chao,p4.2.p.txt,1163.0,0.0
chao,p4.2.p.txt,1156.0,0.6018916595012898
chao,p4.2.q.txt,1204.0,0.0
chao,p4.2.q.txt,1194.0,0.8305647840531563
chao,p4.2.r.txt,1197.0,3.932584269662921
chao,p4.2.r.txt,1246.0,0.0
chao,p4.2.s.txt,1289.0,0.0
chao,p4.2.s.txt,1253.0,2.7928626842513578
chao,p4.2.t.txt,1284.0,0.0
chao,p4.2.t.txt,1275.0,0.7009345794392523
chao,p4.3.a.txt,0.0,0.0
chao,p4.3.a.txt,0.0,0.0
chao,p4.3.b.txt,38.0,0.0
chao,p4.3.b.txt,38.0,0.0
chao,p4.3.c.txt,187.0,0.0
chao,p4.3.c.txt,187.0,0.0
chao,p4.3.d.txt,326.0,0.0
chao,p4.3.d.txt,322.0,1.2269938650306749
chao,p4.3.e.txt,460.0,0.0
chao,p4.3.e.txt,443.0,3.6956521739130435
chao,p4.3.f.txt,537.0,1.2867647058823528
chao,p4.3.f.txt,544.0,0.0
chao,p4.3.g.txt,589.0,1.8333333333333333
chao,p4.3.g.txt,600.0,0.0
chao,p4.3.h.txt,649.0,3.851851851851852
chao,p4.3.h.txt,675.0,0.0
chao,p4.3.i.txt,747.0,2.607561929595828
chao,p4.3.i.txt,767.0,0.0
chao,p4.3.j.txt,833.0,0.0
chao,p4.3.j.txt,779.0,6.482593037214886
chao,p4.3.k.txt,872.0,0.0
chao,p4.3.k.txt,837.0,4.013761467889909
chao,p4.3.l.txt,910.0,0.0
chao,p4.3.l.txt,863.0,5.164835164835164
chao,p4.3.m.txt,996.0,0.0
chao,p4.3.m.txt,882.0,11.44578313253012
chao,p4.3.n.txt,1016.0,1.3592233009708738
chao,p4.3.n.txt,1030.0,0.0
chao,p4.3.o.txt,1011.0,7.162534435261708
chao,p4.3.o.txt,1089.0,0.0
chao,p4.3.p.txt,1109.0,1.070472792149866
chao,p4.3.p.txt,1121.0,0.0
chao,p4.3.q.txt,1115.0,4.209621993127148
chao,p4.3.q.txt,1164.0,0.0
chao,p4.3.r.txt,1181.0,0.0
chao,p4.3.r.txt,1176.0,0.42337002540220153
chao,p4.3.s.txt,1250.0,0.23942537909018355
chao,p4.3.s.txt,1253.0,0.0
chao,p4.3.t.txt,1270.0,0.3139717425431711
chao,p4.3.t.txt,1274.0,0.0
chao,p4.4.a.txt,0.0,0.0
chao,p4.4.a.txt,0.0,0.0
chao,p4.4.b.txt,0.0,0.0
chao,p4.4.b.txt,0.0,0.0
chao,p4.4.c.txt,0.0,0.0
chao,p4.4.c.txt,0.0,0.0
chao,p4.4.d.txt,38.0,0.0
chao,p4.4.d.txt,38.0,0.0
chao,p4.4.e.txt,172.0,0.0
chao,p4.4.e.txt,172.0,0.0
chao,p4.4.f.txt,307.0,2.5396825396825395
chao,p4.4.f.txt,315.0,0.0
chao,p4.4.g.txt,455.0,0.0
chao,p4.4.g.txt,422.0,7.252747252747254
chao,p4.4.h.txt,525.0,0.5681818181818182
chao,p4.4.h.txt,528.0,0.0
chao,p4.4.i.txt,636.0,0.0
chao,p4.4.i.txt,622.0,2.20125786163522
chao,p4.4.j.txt,711.0,0.0
chao,p4.4.j.txt,675.0,5.063291139240507
chao,p4.4.k.txt,709.0,4.832214765100671
chao,p4.4.k.txt,745.0,0.0
chao,p4.4.l.txt,838.0,0.0
chao,p4.4.l.txt,817.0,2.5059665871121717
chao,p4.4.m.txt,850.0,5.660377358490567
chao,p4.4.m.txt,901.0,0.0
chao,p4.4.n.txt,867.0,6.472491909385113
chao,p4.4.n.txt,927.0,0.0
chao,p4.4.o.txt,962.0,0.0
chao,p4.4.o.txt,962.0,0.0
chao,p4.4.p.txt,944.0,6.069651741293533
chao,p4.4.p.txt,1005.0,0.0
chao,p4.4.q.txt,1025.0,3.574788334901223
chao,p4.4.q.txt,1063.0,0.0
chao,p4.4.r.txt,1087.0,3.720106288751107
chao,p4.4.r.txt,1129.0,0.0
chao,p4.4.s.txt,1184.0,0.08438818565400844
chao,p4.4.s.txt,1185.0,0.0
chao,p4.4.t.txt,1235.0,0.0
chao,p4.4.t.txt,1210.0,2.0242914979757085
chao,p5.2.a.txt,0.0,0.0
chao,p5.2.a.txt,0.0,0.0
chao,p5.2.b.txt,20.0,0.0
chao,p5.2.b.txt,20.0,0.0
chao,p5.2.c.txt,50.0,0.0
chao,p5.2.c.txt,50.0,0.0
chao,p5.2.d.txt,80.0,0.0
chao,p5.2.d.txt,80.0,0.0
chao,p5.2.e.txt,175.0,2.7777777777777777
chao,p5.2.e.txt,180.0,0.0
chao,p5.2.f.txt,215.0,0.0
chao,p5.2.f.txt,215.0,0.0
chao,p5.2.g.txt,320.0,0.0
chao,p5.2.g.txt,320.0,0.0
chao,p5.2.h.txt,385.0,1.282051282051282
chao,p5.2.h.txt,390.0,0.0
chao,p5.2.i.txt,455.0,1.0869565217391304
chao,p5.2.i.txt,460.0,0.0
chao,p5.2.j.txt,550.0,0.9009009009009009
chao,p5.2.j.txt,555.0,0.0
chao,p5.2.k.txt,660.0,0.0
