dataset,instance,run_index,run_seed,num_nodes,team_size,max_route_distance,total_score,reference_best_score,gap_to_reference_best_percent,success_reference_hit,cpu_time_seconds,iterations,iterations_to_convergence,last_improvement_iteration,stagnation_iterations,accepted_worse_moves,restarts_performed,num_lp_solves,num_labels_generated,status
chao,p4.2.a.txt,0,7,100,2,25.0,194.0,194.0,0.0,1,0.054732199998397846,20,3,3,17,19,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.a.txt,1,8,100,2,25.0,194.0,194.0,0.0,1,0.057289800000944524,20,0,0,20,20,2,N/A (ILS),N/A (ILS),ok
chao,p4.2.b.txt,0,1007,100,2,30.0,318.0,318.0,0.0,1,0.07672749999983353,20,20,20,0,19,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.b.txt,1,1008,100,2,30.0,317.0,318.0,0.3144654088050315,0,0.07675340000059805,20,4,4,16,18,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.c.txt,0,2007,100,2,35.0,425.0,432.0,1.6203703703703702,0,0.104338999999527,20,20,20,0,16,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.c.txt,1,2008,100,2,35.0,432.0,432.0,0.0,1,0.10466679999990447,20,12,12,8,16,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.d.txt,0,3007,100,2,40.0,497.0,516.0,3.6821705426356592,0,0.12914110000019718,20,20,20,0,15,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.d.txt,1,3008,100,2,40.0,516.0,516.0,0.0,1,0.14561789999970642,20,20,20,0,14,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.e.txt,0,4007,100,2,45.0,598.0,598.0,0.0,1,0.16086800000084622,20,15,15,5,14,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.e.txt,1,4008,100,2,45.0,575.0,598.0,3.8461538461538463,0,0.18228300000009767,20,1,1,19,9,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.f.txt,0,5007,100,2,50.0,637.0,650.0,2.0,0,0.16128829999979644,20,20,20,0,12,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.f.txt,1,5008,100,2,50.0,650.0,650.0,0.0,1,0.1568241000004491,20,13,13,7,11,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.g.txt,0,6007,100,2,55.0,701.0,713.0,1.6830294530154277,0,0.18688539999857312,20,12,12,8,10,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.g.txt,1,6008,100,2,55.0,713.0,713.0,0.0,1,0.1896271000005072,20,13,13,7,11,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.h.txt,0,7007,100,2,60.0,767.0,767.0,0.0,1,0.22835719999966386,20,14,14,6,13,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.h.txt,1,7008,100,2,60.0,753.0,767.0,1.8252933507170794,0,0.23778579999998328,20,10,10,10,13,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.i.txt,0,8007,100,2,65.0,807.0,840.0,3.9285714285714284,0,0.22548199999982899,20,14,14,6,10,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.i.txt,1,8008,100,2,65.0,840.0,840.0,0.0,1,0.2564183000013145,20,4,4,16,11,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.j.txt,0,9007,100,2,70.0,895.0,895.0,0.0,1,0.26505139999972016,20,5,5,15,10,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.j.txt,1,9008,100,2,70.0,891.0,895.0,0.44692737430167595,0,0.28437050000138697,20,15,15,5,10,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.k.txt,0,10007,100,2,75.0,962.0,962.0,0.0,1,0.25860580000153277,20,20,20,0,11,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.k.txt,1,10008,100,2,75.0,919.0,962.0,4.46985446985447,0,0.30972949999886623,20,2,2,18,9,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.l.txt,0,11007,100,2,80.0,1014.0,1014.0,0.0,1,0.27735980000034033,20,10,10,10,9,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.l.txt,1,11008,100,2,80.0,973.0,1014.0,4.043392504930966,0,0.2909057999986544,20,19,19,1,12,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.m.txt,0,12007,100,2,85.0,1053.0,1053.0,0.0,1,0.29236039999887,20,14,14,6,10,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.m.txt,1,12008,100,2,85.0,1021.0,1053.0,3.038936372269706,0,0.3395429000011063,20,17,17,3,7,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.n.txt,0,13007,100,2,90.0,1059.0,1095.0,3.287671232876712,0,0.3006115000007412,20,9,9,11,8,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.n.txt,1,13008,100,2,90.0,1095.0,1095.0,0.0,1,0.2822573999983433,20,11,11,9,15,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.o.txt,0,14007,100,2,95.0,1129.0,1144.0,1.3111888111888113,0,0.2707712999999785,20,10,10,10,9,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.o.txt,1,14008,100,2,95.0,1144.0,1144.0,0.0,1,0.296142699999109,20,9,9,11,11,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.p.txt,0,15007,100,2,100.0,1163.0,1163.0,0.0,1,0.30746560000079626,20,14,14,6,14,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.p.txt,1,15008,100,2,100.0,1156.0,1163.0,0.6018916595012898,0,0.308197399999699,20,20,20,0,8,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.q.txt,0,16007,100,2,105.0,1204.0,1204.0,0.0,1,0.3464552999994339,20,9,9,11,11,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.q.txt,1,16008,100,2,105.0,1194.0,1204.0,0.8305647840531563,0,0.3149569999986852,20,5,5,15,14,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.r.txt,0,17007,100,2,110.0,1197.0,1246.0,3.932584269662921,0,0.2771121999994648,20,10,10,10,9,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.r.txt,1,17008,100,2,110.0,1246.0,1246.0,0.0,1,0.3409405999991577,20,16,16,4,8,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.s.txt,0,18007,100,2,115.0,1289.0,1289.0,0.0,1,0.36974199999895063,20,15,15,5,10,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.s.txt,1,18008,100,2,115.0,1253.0,1289.0,2.7928626842513578,0,0.4644931999991968,20,17,17,3,12,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.t.txt,0,19007,100,2,120.0,1284.0,1284.0,0.0,1,0.39039300000149524,20,7,7,13,11,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.t.txt,1,19008,100,2,120.0,1275.0,1284.0,0.7009345794392523,0,0.33629350000046543,20,17,17,3,11,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.a.txt,0,20007,100,3,16.7,0,0.0,0.0,1,0.007948799999212497,20,0,0,20,20,2,N/A (ILS),N/A (ILS),ok
chao,p4.3.a.txt,1,20008,100,3,16.7,0,0.0,0.0,1,0.0077651999999943655,20,0,0,20,20,2,N/A (ILS),N/A (ILS),ok
chao,p4.3.b.txt,0,21007,100,3,20.0,38.0,38.0,0.0,1,1.2901185999999143,20,0,0,20,20,2,N/A (ILS),N/A (ILS),ok
chao,p4.3.b.txt,1,21008,100,3,20.0,38.0,38.0,0.0,1,1.3664860999997472,20,0,0,20,20,2,N/A (ILS),N/A (ILS),ok
chao,p4.3.c.txt,0,22007,100,3,23.3,187.0,187.0,0.0,1,0.08212840000123833,20,20,20,0,19,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.c.txt,1,22008,100,3,23.3,187.0,187.0,0.0,1,0.07739829999991343,20,7,7,13,19,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.d.txt,0,23007,100,3,26.7,326.0,326.0,0.0,1,0.15980130000025383,20,2,2,18,17,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.d.txt,1,23008,100,3,26.7,322.0,326.0,1.2269938650306749,0,0.11441080000076909,20,15,15,5,17,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.e.txt,0,24007,100,3,30.0,460.0,460.0,0.0,1,0.18020530000103463,20,0,0,20,19,2,N/A (ILS),N/A (ILS),ok
chao,p4.3.e.txt,1,24008,100,3,30.0,443.0,460.0,3.6956521739130435,0,0.15165479999996023,20,2,2,18,16,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.f.txt,0,25007,100,3,33.3,537.0,544.0,1.2867647058823528,0,0.17434069999944768,20,20,20,0,17,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.f.txt,1,25008,100,3,33.3,544.0,544.0,0.0,1,0.20792880000044534,20,16,16,4,12,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.g.txt,0,26007,100,3,36.7,589.0,600.0,1.8333333333333333,0,0.22092739999970945,20,12,12,8,15,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.g.txt,1,26008,100,3,36.7,600.0,600.0,0.0,1,0.21415429999979096,20,18,18,2,13,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.h.txt,0,27007,100,3,40.0,649.0,675.0,3.851851851851852,0,0.2046267000005173,20,5,5,15,12,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.h.txt,1,27008,100,3,40.0,675.0,675.0,0.0,1,0.2689732999988337,20,20,20,0,11,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.i.txt,0,28007,100,3,43.3,747.0,767.0,2.607561929595828,0,0.26776450000033947,20,3,3,17,8,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.i.txt,1,28008,100,3,43.3,767.0,767.0,0.0,1,0.24359130000084406,20,13,13,7,13,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.j.txt,0,29007,100,3,46.7,833.0,833.0,0.0,1,0.2587829000003694,20,7,7,13,13,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.j.txt,1,29008,100,3,46.7,779.0,833.0,6.482593037214886,0,0.2783402999993996,20,20,20,0,12,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.k.txt,0,30007,100,3,50.0,872.0,872.0,0.0,1,0.25069189999885566,20,10,10,10,9,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.k.txt,1,30008,100,3,50.0,837.0,872.0,4.013761467889909,0,0.28637309999976424,20,13,13,7,11,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.l.txt,0,31007,100,3,53.3,910.0,910.0,0.0,1,0.27269889999843144,20,16,16,4,10,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.l.txt,1,31008,100,3,53.3,863.0,910.0,5.164835164835164,0,0.34645180000006803,20,2,2,18,10,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.m.txt,0,32007,100,3,56.7,996.0,996.0,0.0,1,0.3116009000004851,20,18,18,2,10,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.m.txt,1,32008,100,3,56.7,882.0,996.0,11.44578313253012,0,0.30588340000031167,20,13,13,7,9,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.n.txt,0,33007,100,3,60.0,1016.0,1030.0,1.3592233009708738,0,0.3249021999999968,20,12,12,8,12,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.n.txt,1,33008,100,3,60.0,1030.0,1030.0,0.0,1,0.28460400000039954,20,17,17,3,8,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.o.txt,0,34007,100,3,63.3,1011.0,1089.0,7.162534435261708,0,0.30368040000030305,20,16,16,4,11,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.o.txt,1,34008,100,3,63.3,1089.0,1089.0,0.0,1,0.315655099999276,20,17,17,3,11,1,N/A (ILS),N/A (ILS),ok
