iteration,current_profit,best_profit,strength,variant
0.0,55.0,55.0,,basic
1.0,55.0,55.0,0.15,basic
2.0,55.0,55.0,0.15,basic
3.0,55.0,55.0,0.15,basic
4.0,55.0,55.0,0.15,basic
5.0,55.0,55.0,0.15,basic
6.0,55.0,55.0,0.15,basic
7.0,55.0,55.0,0.15,basic
8.0,55.0,55.0,0.15,basic
9.0,55.0,55.0,0.15,basic
10.0,55.0,55.0,0.15,basic
11.0,55.0,55.0,0.15,basic
12.0,55.0,55.0,0.15,basic
13.0,55.0,55.0,0.15,basic
14.0,55.0,55.0,0.15,basic
15.0,55.0,55.0,0.15,basic
16.0,55.0,55.0,0.15,basic
17.0,55.0,55.0,0.15,basic
18.0,55.0,55.0,0.15,basic
19.0,55.0,55.0,0.15,basic
20.0,55.0,55.0,0.15,basic
21.0,55.0,55.0,0.15,basic
22.0,55.0,55.0,0.15,basic
23.0,55.0,55.0,0.15,basic
24.0,55.0,55.0,0.15,basic
25.0,55.0,55.0,0.15,basic
26.0,55.0,55.0,0.15,basic
27.0,55.0,55.0,0.15,basic
28.0,55.0,55.0,0.15,basic
29.0,55.0,55.0,0.15,basic
30.0,55.0,55.0,0.15,basic
31.0,55.0,55.0,0.15,basic
32.0,55.0,55.0,0.15,basic
33.0,55.0,55.0,0.15,basic
34.0,55.0,55.0,0.15,basic
35.0,55.0,55.0,0.15,basic
36.0,55.0,55.0,0.15,basic
37.0,55.0,55.0,0.15,basic
38.0,55.0,55.0,0.15,basic
39.0,55.0,55.0,0.15,basic
40.0,55.0,55.0,0.15,basic
41.0,55.0,55.0,0.15,basic
42.0,55.0,55.0,0.15,basic
43.0,55.0,55.0,0.15,basic
44.0,55.0,55.0,0.15,basic
45.0,55.0,55.0,0.15,basic
46.0,55.0,55.0,0.15,basic
47.0,55.0,55.0,0.15,basic
48.0,55.0,55.0,0.15,basic
49.0,55.0,55.0,0.15,basic
50.0,55.0,55.0,0.15,basic
51.0,55.0,55.0,0.15,basic
52.0,55.0,55.0,0.15,basic
53.0,55.0,55.0,0.15,basic
54.0,55.0,55.0,0.15,basic
55.0,55.0,55.0,0.15,basic
56.0,55.0,55.0,0.15,basic
57.0,55.0,55.0,0.15,basic
58.0,55.0,55.0,0.15,basic
59.0,55.0,55.0,0.15,basic
60.0,55.0,55.0,0.15,basic
61.0,55.0,55.0,0.15,basic
62.0,55.0,55.0,0.15,basic
63.0,55.0,55.0,0.15,basic
64.0,55.0,55.0,0.15,basic
65.0,55.0,55.0,0.15,basic
66.0,55.0,55.0,0.15,basic
67.0,55.0,55.0,0.15,basic
68.0,55.0,55.0,0.15,basic
69.0,55.0,55.0,0.15,basic
70.0,55.0,55.0,0.15,basic
71.0,55.0,55.0,0.15,basic
72.0,55.0,55.0,0.15,basic
73.0,55.0,55.0,0.15,basic
74.0,55.0,55.0,0.15,basic
75.0,55.0,55.0,0.15,basic
76.0,55.0,55.0,0.15,basic
77.0,55.0,55.0,0.15,basic
78.0,55.0,55.0,0.15,basic
79.0,55.0,55.0,0.15,basic
80.0,55.0,55.0,0.15,basic
