iteration,current_profit,best_profit,strength,variant
0.0,55.0,55.0,,modified
1.0,55.0,55.0,0.16,modified
2.0,55.0,55.0,0.16,modified
3.0,55.0,55.0,0.16,modified
4.0,55.0,55.0,0.16,modified
5.0,55.0,55.0,0.16,modified
6.0,55.0,55.0,0.16,modified
7.0,55.0,55.0,0.16,modified
8.0,55.0,55.0,0.16,modified
9.0,55.0,55.0,0.16,modified
10.0,55.0,55.0,0.16,modified
11.0,55.0,55.0,0.16,modified
12.0,55.0,55.0,0.16,modified
13.0,55.0,55.0,0.16,modified
14.0,55.0,55.0,0.16,modified
15.0,55.0,55.0,0.16,modified
16.0,55.0,55.0,0.16,modified
17.0,55.0,55.0,0.16,modified
18.0,55.0,55.0,0.16,modified
19.0,55.0,55.0,0.16,modified
20.0,55.0,55.0,0.16,modified
21.0,55.0,55.0,0.16,modified
22.0,55.0,55.0,0.16,modified
23.0,55.0,55.0,0.16,modified
24.0,55.0,55.0,0.16,modified
25.0,55.0,55.0,0.16,modified
26.0,55.0,55.0,0.16,modified
27.0,55.0,55.0,0.16,modified
28.0,55.0,55.0,0.16,modified
29.0,55.0,55.0,0.16,modified
30.0,55.0,55.0,0.16,modified
31.0,55.0,55.0,0.16,modified
32.0,55.0,55.0,0.16,modified
33.0,55.0,55.0,0.16,modified
34.0,55.0,55.0,0.16,modified
35.0,55.0,55.0,0.16,modified
36.0,55.0,55.0,0.16,modified
37.0,55.0,55.0,0.16,modified
38.0,55.0,55.0,0.16,modified
39.0,55.0,55.0,0.16,modified
40.0,55.0,55.0,0.16,modified
41.0,55.0,55.0,0.16,modified
42.0,55.0,55.0,0.16,modified
43.0,55.0,55.0,0.16,modified
44.0,55.0,55.0,0.16,modified
45.0,55.0,55.0,0.16,modified
46.0,55.0,55.0,0.16,modified
47.0,55.0,55.0,0.16,modified
48.0,55.0,55.0,0.16,modified
49.0,55.0,55.0,0.16,modified
50.0,55.0,55.0,0.16,modified
51.0,55.0,55.0,0.16,modified
52.0,55.0,55.0,0.16,modified
53.0,55.0,55.0,0.16,modified
54.0,55.0,55.0,0.16,modified
55.0,55.0,55.0,0.16,modified
56.0,55.0,55.0,0.16,modified
57.0,55.0,55.0,0.16,modified
58.0,55.0,55.0,0.16,modified
59.0,55.0,55.0,0.16,modified
60.0,55.0,55.0,0.16,modified
61.0,55.0,55.0,0.16,modified
62.0,55.0,55.0,0.16,modified
63.0,55.0,55.0,0.16,modified
64.0,55.0,55.0,0.16,modified
65.0,55.0,55.0,0.16,modified
66.0,55.0,55.0,0.16,modified
67.0,55.0,55.0,0.16,modified
68.0,55.0,55.0,0.16,modified
69.0,55.0,55.0,0.16,modified
70.0,55.0,55.0,0.16,modified
71.0,55.0,55.0,0.16,modified
72.0,55.0,55.0,0.16,modified
73.0,55.0,55.0,0.16,modified
74.0,55.0,55.0,0.16,modified
75.0,55.0,55.0,0.16,modified
76.0,55.0,55.0,0.16,modified
77.0,55.0,55.0,0.16,modified
78.0,55.0,55.0,0.16,modified
79.0,55.0,55.0,0.16,modified
80.0,55.0,55.0,0.16,modified
